E /V	I /uA	E /V	I /uA
0.287	-0.679	0.287	-0.445
0.287	-0.629	0.287	-0.414
0.286	-0.584	0.286	-0.380
0.286	-0.532	0.286	-0.353
0.285	-0.492	0.285	-0.328
0.285	-0.448	0.285	-0.307
0.284	-0.417	0.284	-0.290
0.284	-0.383	0.284	-0.274
0.283	-0.348	0.283	-0.265
0.283	-0.330	0.283	-0.256
0.282	-0.307	0.282	-0.253
0.282	-0.281	0.282	-0.244
0.281	-0.270	0.281	-0.230
0.281	-0.264	0.281	-0.239
0.281	-0.251	0.281	-0.236
0.280	-0.230	0.280	-0.233
0.280	-0.242	0.280	-0.231
0.279	-0.236	0.279	-0.233
0.279	-0.224	0.279	-0.230
0.278	-0.227	0.278	-0.231
0.278	-0.224	0.278	-0.227
0.277	-0.241	0.277	-0.218
0.277	-0.224	0.277	-0.233
0.276	-0.225	0.276	-0.227
0.276	-0.227	0.276	-0.228
0.275	-0.221	0.275	-0.228
0.275	-0.219	0.275	-0.228
0.274	-0.228	0.274	-0.230
0.274	-0.225	0.274	-0.235
0.273	-0.227	0.273	-0.231
0.273	-0.222	0.273	-0.222
0.272	-0.219	0.272	-0.221
0.272	-0.222	0.272	-0.228
0.271	-0.222	0.271	-0.230
0.271	-0.225	0.271	-0.225
0.270	-0.216	0.270	-0.227
0.270	-0.221	0.270	-0.222
0.269	-0.219	0.269	-0.225
0.269	-0.216	0.269	-0.224
0.268	-0.225	0.268	-0.228
0.268	-0.218	0.268	-0.218
0.267	-0.212	0.267	-0.218
0.267	-0.215	0.267	-0.219
0.266	-0.215	0.266	-0.212
0.266	-0.212	0.266	-0.221
0.265	-0.208	0.265	-0.215
0.265	-0.212	0.265	-0.215
0.264	-0.210	0.264	-0.216
0.264	-0.201	0.264	-0.216
0.263	-0.205	0.263	-0.213
0.263	-0.204	0.263	-0.212
0.262	-0.199	0.262	-0.207
0.262	-0.201	0.262	-0.207
0.261	-0.198	0.261	-0.199
0.261	-0.198	0.261	-0.202
0.260	-0.193	0.260	-0.212
0.260	-0.187	0.260	-0.202
0.259	-0.199	0.259	-0.202
0.259	-0.190	0.259	-0.193
0.258	-0.185	0.258	-0.198
0.258	-0.182	0.258	-0.187
0.257	-0.184	0.257	-0.187
0.257	-0.178	0.257	-0.187
0.256	-0.181	0.256	-0.184
0.256	-0.173	0.256	-0.182
0.255	-0.176	0.255	-0.179
0.255	-0.164	0.255	-0.175
0.254	-0.167	0.254	-0.176
0.254	-0.172	0.254	-0.176
0.253	-0.161	0.253	-0.167
0.253	-0.162	0.253	-0.164
0.252	-0.158	0.252	-0.164
0.252	-0.149	0.252	-0.164
0.251	-0.156	0.251	-0.156
0.251	-0.155	0.251	-0.158
0.250	-0.153	0.250	-0.156
0.250	-0.147	0.250	-0.156
0.249	-0.152	0.249	-0.149
0.248	-0.144	0.248	-0.150
0.248	-0.146	0.248	-0.143
0.247	-0.141	0.247	-0.156
0.247	-0.139	0.247	-0.146
0.246	-0.132	0.246	-0.139
0.246	-0.139	0.246	-0.139
0.245	-0.136	0.245	-0.141
0.245	-0.135	0.245	-0.130
0.244	-0.136	0.244	-0.136
0.244	-0.127	0.244	-0.136
0.243	-0.124	0.243	-0.138
0.243	-0.132	0.243	-0.136
0.242	-0.126	0.242	-0.130
0.242	-0.120	0.242	-0.129
0.241	-0.130	0.241	-0.130
0.241	-0.123	0.241	-0.127
0.240	-0.123	0.240	-0.126
0.240	-0.116	0.240	-0.123
0.239	-0.120	0.239	-0.127
0.239	-0.120	0.239	-0.129
0.238	-0.124	0.238	-0.127
0.238	-0.118	0.238	-0.124
0.237	-0.123	0.237	-0.123
0.237	-0.120	0.237	-0.123
0.236	-0.118	0.236	-0.121
0.236	-0.118	0.236	-0.112
0.235	-0.120	0.235	-0.124
0.235	-0.120	0.235	-0.123
0.234	-0.120	0.234	-0.118
0.234	-0.116	0.234	-0.126
0.234	-0.123	0.234	-0.120
0.233	-0.127	0.233	-0.118
0.233	-0.126	0.233	-0.118
0.232	-0.115	0.232	-0.118
0.232	-0.126	0.232	-0.118
0.231	-0.118	0.231	-0.118
0.231	-0.120	0.231	-0.130
0.230	-0.124	0.230	-0.115
0.230	-0.118	0.230	-0.121
0.229	-0.123	0.229	-0.121
0.229	-0.116	0.229	-0.118
0.228	-0.130	0.228	-0.121
0.228	-0.118	0.228	-0.123
0.227	-0.121	0.227	-0.124
0.227	-0.123	0.227	-0.124
0.226	-0.124	0.226	-0.120
0.226	-0.123	0.226	-0.115
0.225	-0.127	0.225	-0.129
0.225	-0.123	0.225	-0.127
0.224	-0.124	0.224	-0.106
0.224	-0.123	0.224	-0.121
0.223	-0.129	0.223	-0.123
0.223	-0.126	0.223	-0.118
0.222	-0.123	0.222	-0.120
0.222	-0.132	0.222	-0.129
0.221	-0.132	0.221	-0.124
0.221	-0.123	0.221	-0.124
0.220	-0.127	0.220	-0.130
0.220	-0.127	0.220	-0.126
0.219	-0.133	0.219	-0.126
0.219	-0.130	0.219	-0.124
0.218	-0.130	0.218	-0.126
0.217	-0.130	0.217	-0.127
0.217	-0.133	0.217	-0.132
0.216	-0.129	0.216	-0.124
0.216	-0.135	0.216	-0.135
0.215	-0.130	0.215	-0.129
0.215	-0.135	0.215	-0.132
0.214	-0.133	0.214	-0.132
0.214	-0.138	0.214	-0.126
0.213	-0.132	0.213	-0.133
0.213	-0.133	0.213	-0.132
0.212	-0.138	0.212	-0.126
0.212	-0.138	0.212	-0.138
0.211	-0.136	0.211	-0.135
0.211	-0.143	0.211	-0.133
0.210	-0.141	0.210	-0.132
0.210	-0.136	0.210	-0.138
0.209	-0.141	0.209	-0.130
0.209	-0.141	0.209	-0.133
0.208	-0.143	0.208	-0.130
0.208	-0.143	0.208	-0.139
0.207	-0.146	0.207	-0.146
0.207	-0.149	0.207	-0.138
0.206	-0.155	0.206	-0.136
0.206	-0.152	0.206	-0.138
0.205	-0.144	0.205	-0.141
0.205	-0.147	0.205	-0.136
0.204	-0.152	0.204	-0.144
0.204	-0.153	0.204	-0.146
0.203	-0.153	0.203	-0.141
0.203	-0.153	0.203	-0.149
0.203	-0.150	0.203	-0.150
0.202	-0.155	0.202	-0.141
0.202	-0.150	0.202	-0.150
0.201	-0.156	0.201	-0.150
0.201	-0.156	0.201	-0.146
0.200	-0.161	0.200	-0.146
0.200	-0.162	0.200	-0.152
0.199	-0.161	0.199	-0.156
0.199	-0.161	0.199	-0.152
0.198	-0.164	0.198	-0.156
0.198	-0.158	0.198	-0.158
0.197	-0.167	0.197	-0.150
0.197	-0.166	0.197	-0.155
0.196	-0.162	0.196	-0.161
0.196	-0.173	0.196	-0.166
0.195	-0.176	0.195	-0.164
0.195	-0.179	0.195	-0.167
0.194	-0.179	0.194	-0.166
0.194	-0.161	0.194	-0.166
0.193	-0.176	0.193	-0.162
0.193	-0.181	0.193	-0.166
0.192	-0.175	0.192	-0.173
0.192	-0.182	0.192	-0.169
0.191	-0.181	0.191	-0.173
0.191	-0.181	0.191	-0.173
0.190	-0.187	0.190	-0.173
0.190	-0.182	0.190	-0.172
0.189	-0.190	0.189	-0.176
0.189	-0.184	0.189	-0.173
0.188	-0.190	0.188	-0.181
0.188	-0.187	0.188	-0.187
0.187	-0.192	0.187	-0.178
0.186	-0.193	0.186	-0.182
0.186	-0.192	0.186	-0.187
0.185	-0.190	0.185	-0.189
0.185	-0.196	0.185	-0.190
0.184	-0.199	0.184	-0.190
0.184	-0.196	0.184	-0.192
0.183	-0.201	0.183	-0.193
0.183	-0.202	0.183	-0.193
0.182	-0.207	0.182	-0.189
0.182	-0.199	0.182	-0.193
0.181	-0.204	0.181	-0.193
0.181	-0.210	0.181	-0.204
0.180	-0.205	0.180	-0.196
0.180	-0.216	0.180	-0.201
0.179	-0.212	0.179	-0.202
0.179	-0.227	0.179	-0.210
0.178	-0.221	0.178	-0.205
0.178	-0.216	0.178	-0.207
0.177	-0.218	0.177	-0.204
0.177	-0.224	0.177	-0.207
0.176	-0.222	0.176	-0.212
0.176	-0.230	0.176	-0.212
0.175	-0.218	0.175	-0.216
0.175	-0.235	0.175	-0.218
0.174	-0.228	0.174	-0.218
0.174	-0.228	0.174	-0.221
0.173	-0.239	0.173	-0.222
0.173	-0.238	0.173	-0.227
0.172	-0.236	0.172	-0.227
0.172	-0.244	0.172	-0.228
0.172	-0.242	0.172	-0.230
0.171	-0.247	0.171	-0.235
0.171	-0.245	0.171	-0.228
0.170	-0.253	0.170	-0.238
0.170	-0.250	0.170	-0.231
0.169	-0.256	0.169	-0.241
0.169	-0.248	0.169	-0.244
0.168	-0.268	0.168	-0.241
0.168	-0.254	0.168	-0.247
0.167	-0.262	0.167	-0.244
0.167	-0.254	0.167	-0.242
0.166	-0.264	0.166	-0.256
0.166	-0.262	0.166	-0.253
0.165	-0.267	0.165	-0.253
0.165	-0.262	0.165	-0.258
0.164	-0.274	0.164	-0.259
0.164	-0.271	0.164	-0.259
0.163	-0.287	0.163	-0.270
0.163	-0.271	0.163	-0.262
0.162	-0.276	0.162	-0.256
0.162	-0.284	0.162	-0.270
0.161	-0.288	0.161	-0.267
0.161	-0.273	0.161	-0.271
0.160	-0.291	0.160	-0.274
0.160	-0.290	0.160	-0.281
0.159	-0.293	0.159	-0.284
0.159	-0.294	0.159	-0.279
0.158	-0.296	0.158	-0.288
0.158	-0.291	0.158	-0.285
0.157	-0.301	0.157	-0.293
0.157	-0.293	0.157	-0.284
0.156	-0.305	0.156	-0.293
0.155	-0.304	0.155	-0.290
0.155	-0.311	0.155	-0.299
0.154	-0.307	0.154	-0.294
0.154	-0.313	0.154	-0.305
0.153	-0.311	0.153	-0.296
0.153	-0.313	0.153	-0.301
0.152	-0.319	0.152	-0.304
0.152	-0.324	0.152	-0.308
0.151	-0.316	0.151	-0.307
0.151	-0.324	0.151	-0.317
0.150	-0.324	0.150	-0.308
0.150	-0.331	0.150	-0.308
0.149	-0.328	0.149	-0.317
0.149	-0.336	0.149	-0.314
0.148	-0.334	0.148	-0.320
0.148	-0.337	0.148	-0.322
0.147	-0.333	0.147	-0.324
0.147	-0.347	0.147	-0.333
0.146	-0.334	0.146	-0.328
0.146	-0.348	0.146	-0.333
0.145	-0.343	0.145	-0.334
0.145	-0.350	0.145	-0.347
0.144	-0.343	0.144	-0.328
0.144	-0.356	0.144	-0.345
0.143	-0.351	0.143	-0.347
0.143	-0.357	0.143	-0.353
0.142	-0.360	0.142	-0.340
0.142	-0.354	0.142	-0.339
0.141	-0.362	0.141	-0.343
0.141	-0.366	0.141	-0.356
0.141	-0.363	0.141	-0.348
0.140	-0.365	0.140	-0.357
0.140	-0.370	0.140	-0.360
0.139	-0.382	0.139	-0.371
0.139	-0.377	0.139	-0.353
0.138	-0.376	0.138	-0.373
0.138	-0.377	0.138	-0.370
0.137	-0.380	0.137	-0.377
0.137	-0.386	0.137	-0.377
0.136	-0.388	0.136	-0.371
0.136	-0.385	0.136	-0.376
0.135	-0.391	0.135	-0.389
0.135	-0.386	0.135	-0.382
0.134	-0.396	0.134	-0.385
0.134	-0.397	0.134	-0.391
0.133	-0.400	0.133	-0.399
0.133	-0.405	0.133	-0.391
0.132	-0.409	0.132	-0.388
0.132	-0.414	0.132	-0.396
0.131	-0.429	0.131	-0.411
0.131	-0.406	0.131	-0.399
0.130	-0.416	0.130	-0.405
0.130	-0.416	0.130	-0.403
0.129	-0.419	0.129	-0.411
0.129	-0.416	0.129	-0.405
0.128	-0.423	0.128	-0.411
0.128	-0.420	0.128	-0.412
0.127	-0.437	0.127	-0.426
0.127	-0.431	0.127	-0.414
0.126	-0.431	0.126	-0.426
0.126	-0.426	0.126	-0.419
0.125	-0.440	0.125	-0.429
0.125	-0.437	0.125	-0.425
0.124	-0.442	0.124	-0.432
0.123	-0.437	0.123	-0.434
0.123	-0.458	0.123	-0.443
0.122	-0.446	0.122	-0.431
0.122	-0.445	0.122	-0.429
0.121	-0.458	0.121	-0.445
0.121	-0.455	0.121	-0.449
0.120	-0.458	0.120	-0.448
0.120	-0.460	0.120	-0.454
0.119	-0.458	0.119	-0.446
0.119	-0.472	0.119	-0.463
0.118	-0.463	0.118	-0.460
0.118	-0.471	0.118	-0.463
0.117	-0.468	0.117	-0.460
0.117	-0.471	0.117	-0.468
0.117	-0.477	0.117	-0.463
0.116	-0.478	0.116	-0.471
0.116	-0.483	0.116	-0.472
0.115	-0.497	0.115	-0.491
0.115	-0.489	0.115	-0.485
0.114	-0.486	0.114	-0.488
0.114	-0.489	0.114	-0.475
0.113	-0.500	0.113	-0.489
0.113	-0.492	0.113	-0.481
0.112	-0.503	0.112	-0.492
0.112	-0.497	0.112	-0.492
0.111	-0.512	0.111	-0.501
0.111	-0.511	0.111	-0.494
0.110	-0.514	0.110	-0.500
0.110	-0.506	0.110	-0.503
0.109	-0.517	0.109	-0.509
0.108	-0.512	0.108	-0.504
0.108	-0.515	0.108	-0.509
0.107	-0.523	0.107	-0.504
0.107	-0.532	0.107	-0.531
0.106	-0.524	0.106	-0.514
0.106	-0.511	0.106	-0.520
0.105	-0.532	0.105	-0.520
0.105	-0.535	0.105	-0.527
0.104	-0.531	0.104	-0.524
0.104	-0.535	0.104	-0.529
0.103	-0.537	0.103	-0.529
0.103	-0.550	0.103	-0.538
0.102	-0.541	0.102	-0.529
0.102	-0.540	0.102	-0.537
0.102	-0.544	0.102	-0.535
0.101	-0.541	0.101	-0.550
0.101	-0.555	0.101	-0.544
