E /V	I /uA	E /V	I /uA
0.029	0.683	0.029	0.669
0.029	0.683	0.029	0.672
0.030	0.678	0.030	0.669
0.030	0.678	0.030	0.666
0.031	0.690	0.031	0.673
0.032	0.687	0.032	0.666
0.032	0.689	0.032	0.673
0.033	0.672	0.033	0.666
0.033	0.680	0.033	0.673
0.034	0.686	0.034	0.660
0.034	0.684	0.034	0.667
0.035	0.676	0.035	0.664
0.035	0.695	0.035	0.693
0.035	0.687	0.035	0.672
0.036	0.681	0.036	0.670
0.036	0.676	0.036	0.669
0.037	0.684	0.037	0.680
0.037	0.681	0.037	0.669
0.038	0.687	0.038	0.673
0.038	0.669	0.038	0.661
0.039	0.686	0.039	0.675
0.040	0.684	0.040	0.666
0.040	0.680	0.040	0.675
0.041	0.676	0.041	0.669
0.041	0.681	0.041	0.667
0.042	0.676	0.042	0.663
0.042	0.683	0.042	0.661
0.043	0.669	0.043	0.657
0.043	0.692	0.043	0.678
0.043	0.681	0.043	0.660
0.044	0.681	0.044	0.655
0.044	0.680	0.044	0.661
0.045	0.686	0.045	0.663
0.045	0.678	0.045	0.658
0.046	0.678	0.046	0.658
0.046	0.670	0.046	0.652
0.047	0.670	0.047	0.661
0.048	0.670	0.048	0.652
0.048	0.669	0.048	0.657
0.049	0.673	0.049	0.653
0.049	0.678	0.049	0.663
0.050	0.667	0.050	0.649
0.050	0.667	0.050	0.647
0.051	0.664	0.051	0.652
0.051	0.680	0.051	0.669
0.051	0.669	0.051	0.655
0.052	0.664	0.052	0.644
0.052	0.658	0.052	0.647
0.053	0.670	0.053	0.655
0.053	0.660	0.053	0.647
0.054	0.655	0.054	0.644
0.054	0.644	0.054	0.637
0.055	0.657	0.055	0.655
0.056	0.655	0.056	0.637
0.056	0.650	0.056	0.641
0.057	0.644	0.057	0.634
0.057	0.652	0.057	0.641
0.058	0.650	0.058	0.627
0.058	0.652	0.058	0.643
0.059	0.638	0.059	0.627
0.059	0.655	0.059	0.643
0.059	0.647	0.059	0.627
0.060	0.644	0.060	0.629
0.060	0.640	0.060	0.624
0.061	0.644	0.061	0.630
0.061	0.635	0.061	0.624
0.062	0.640	0.062	0.626
0.063	0.629	0.063	0.623
0.063	0.635	0.063	0.626
0.064	0.630	0.064	0.617
0.064	0.629	0.064	0.621
0.065	0.624	0.065	0.607
0.065	0.623	0.065	0.620
0.066	0.626	0.066	0.611
0.066	0.623	0.066	0.603
0.067	0.611	0.067	0.606
0.067	0.638	0.067	0.634
0.068	0.630	0.068	0.611
0.068	0.626	0.068	0.607
0.069	0.615	0.069	0.603
0.069	0.618	0.069	0.606
0.070	0.607	0.070	0.597
0.070	0.609	0.070	0.600
0.070	0.603	0.070	0.597
0.071	0.611	0.071	0.600
0.071	0.604	0.071	0.587
0.072	0.614	0.072	0.589
0.072	0.597	0.072	0.586
0.073	0.601	0.073	0.587
0.073	0.597	0.073	0.580
0.074	0.595	0.074	0.587
0.074	0.581	0.074	0.581
0.075	0.601	0.075	0.598
0.075	0.591	0.075	0.578
0.076	0.584	0.076	0.575
0.076	0.589	0.076	0.574
0.077	0.595	0.077	0.575
0.077	0.581	0.077	0.580
0.078	0.589	0.078	0.572
0.079	0.566	0.079	0.560
0.079	0.581	0.079	0.574
0.080	0.575	0.080	0.568
0.080	0.569	0.080	0.560
0.081	0.568	0.081	0.560
0.081	0.574	0.081	0.568
0.082	0.560	0.082	0.555
0.082	0.563	0.082	0.552
0.083	0.554	0.083	0.558
0.083	0.580	0.083	0.571
0.084	0.566	0.084	0.548
0.084	0.555	0.084	0.549
0.085	0.558	0.085	0.540
0.085	0.557	0.085	0.545
0.086	0.548	0.086	0.538
0.086	0.551	0.086	0.545
0.086	0.546	0.086	0.532
0.087	0.549	0.087	0.545
0.087	0.540	0.087	0.534
0.088	0.541	0.088	0.528
0.088	0.543	0.088	0.525
0.089	0.532	0.089	0.537
0.089	0.532	0.089	0.522
0.090	0.534	0.090	0.522
0.090	0.523	0.090	0.515
0.091	0.540	0.091	0.529
0.091	0.529	0.091	0.517
0.092	0.528	0.092	0.517
0.092	0.517	0.092	0.509
0.093	0.520	0.093	0.512
0.093	0.512	0.093	0.503
0.094	0.509	0.094	0.506
0.095	0.512	0.095	0.497
0.095	0.518	0.095	0.511
0.096	0.506	0.096	0.499
0.096	0.511	0.096	0.494
0.097	0.503	0.097	0.492
0.097	0.505	0.097	0.499
0.098	0.495	0.098	0.489
0.098	0.502	0.098	0.499
0.099	0.489	0.099	0.483
