E /V	I /uA	E /V	I /uA
0.261	0.229		
0.262	0.215		
0.263	0.193		
0.264	0.206		
0.265	0.204		
0.266	0.230		
0.267	0.213		
0.268	0.221		
0.269	0.192		
0.270	0.199		
0.271	0.193		
0.272	0.183		
0.273	0.192		
0.274	0.193		
0.275	0.201		
0.276	0.190		
0.277	0.176		
0.278	0.186		
0.279	0.196		
0.280	0.173		
0.281	0.201		
0.282	0.192		
0.283	0.190		
0.284	0.183		
0.285	0.190		
0.286	0.192		
0.287	0.196		
0.288	0.189		
0.289	0.203		
0.290	0.209		
0.291	0.210		
0.292	0.178		
0.293	0.203		
0.294	0.210		
0.295	0.206		
0.296	0.207		
0.297	0.213		
0.298	0.207		
0.299	0.192		
0.300	0.209		
0.301	0.219		
0.302	0.201		
0.303	0.201		
0.304	0.216		
0.305	0.229		
0.306	0.226		
0.307	0.239		
0.308	0.235		
0.309	0.230		
0.310	0.247		
0.311	0.221		
0.312	0.222		
0.313	0.227		
0.314	0.222		
0.315	0.232		
0.316	0.222		
0.317	0.258		
0.318	0.236		
0.319	0.245		
0.320	0.209		
0.321	0.253		
0.322	0.238		
0.323	0.232		
0.324	0.261		
0.325	0.265		
0.326	0.275		
0.327	0.245		
0.328	0.242		
0.329	0.244		
0.330	0.253		
0.331	0.259		
0.332	0.253		
0.333	0.291		
0.334	0.276		
0.335	0.296		
0.336	0.287		
0.337	0.288		
0.338	0.295		
0.339	0.293		
0.340	0.330		
0.341	0.321		
0.342	0.296		
0.343	0.308		
0.344	0.304		
0.345	0.330		
0.346	0.322		
0.347	0.338		
0.348	0.331		
0.349	0.319		
0.350	0.348		
0.351	0.364		
0.352	0.348		
0.353	0.322		
0.354	0.351		
0.355	0.351		
0.356	0.364		
0.357	0.357		
0.358	0.359		
0.359	0.405		
0.360	0.426		
0.361	0.419		
0.362	0.413		
0.363	0.423		
0.364	0.433		
0.365	0.439		
0.366	0.436		
0.367	0.440		
0.368	0.451		
0.369	0.428		
0.370	0.433		
0.371	0.430		
0.372	0.443		
0.373	0.465		
0.374	0.492		
0.375	0.466		
0.376	0.472		
0.377	0.495		
0.378	0.506		
0.379	0.546		
0.380	0.526		
0.381	0.545		
0.382	0.537		
0.383	0.548		
0.384	0.538		
0.385	0.560		
0.386	0.552		
0.387	0.564		
0.388	0.568		
0.389	0.574		
0.390	0.597		
0.391	0.594		
0.392	0.618		
0.393	0.577		
0.394	0.603		
0.395	0.611		
0.396	0.603		
0.397	0.667		
0.398	0.663		
0.399	0.652		
0.400	0.667		
0.401	0.673		
0.402	0.655		
0.403	0.658		
0.404	0.672		
0.405	0.670		
0.406	0.653		
0.407	0.687		
0.408	0.673		
0.409	0.676		
0.410	0.724		
0.411	0.667		
0.412	0.686		
0.413	0.710		
0.414	0.706		
0.415	0.726		
0.416	0.699		
0.417	0.742		
0.418	0.749		
0.419	0.747		
0.420	0.750		
0.421	0.750		
0.422	0.787		
0.423	0.750		
0.424	0.750		
0.425	0.745		
0.426	0.778		
0.427	0.756		
0.428	0.712		
0.429	0.745		
0.430	0.778		
0.431	0.787		
0.432	0.742		
0.433	0.752		
0.434	0.745		
0.435	0.726		
0.436	0.736		
0.437	0.742		
0.438	0.759		
0.439	0.758		
0.440	0.729		
0.441	0.713		
0.442	0.761		
0.443	0.722		
0.444	0.718		
0.445	0.730		
0.446	0.742		
0.447	0.716		
0.448	0.718		
0.449	0.712		
0.450	0.733		
0.451	0.733		
0.452	0.722		
0.453	0.709		
0.454	0.707		
0.455	0.716		
0.456	0.670		
0.457	0.693		
0.458	0.701		
0.459	0.729		
0.460	0.706		
0.461	0.664		
0.462	0.686		
0.463	0.663		
0.464	0.666		
0.465	0.667		
0.466	0.653		
0.467	0.624		
