E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.067	0.896	0.067	0.876	0.067	0.867	0.067	0.857	0.067	0.842
0.068	0.880	0.068	0.857	0.068	0.848	0.068	0.837	0.068	0.828
0.069	0.876	0.069	0.856	0.069	0.834	0.069	0.831	0.069	0.821
0.070	0.854	0.070	0.844	0.070	0.822	0.070	0.821	0.070	0.808
0.071	0.868	0.071	0.839	0.071	0.825	0.071	0.814	0.071	0.801
0.072	0.854	0.072	0.827	0.072	0.814	0.072	0.810	0.072	0.795
0.073	0.848	0.073	0.822	0.073	0.807	0.073	0.796	0.073	0.790
0.074	0.842	0.074	0.813	0.074	0.798	0.074	0.795	0.074	0.776
0.075	0.848	0.075	0.814	0.075	0.804	0.075	0.788	0.075	0.781
0.076	0.830	0.076	0.802	0.076	0.791	0.076	0.782	0.076	0.775
0.077	0.824	0.077	0.802	0.077	0.790	0.077	0.776	0.077	0.767
0.078	0.810	0.078	0.787	0.078	0.778	0.078	0.768	0.078	0.761
0.079	0.811	0.079	0.790	0.079	0.775	0.079	0.767	0.079	0.758
0.080	0.807	0.080	0.782	0.080	0.767	0.080	0.756	0.080	0.741
0.081	0.799	0.081	0.773	0.081	0.756	0.081	0.752	0.081	0.739
0.082	0.790	0.082	0.762	0.082	0.759	0.082	0.745	0.082	0.736
0.083	0.795	0.083	0.770	0.083	0.758	0.083	0.741	0.083	0.729
0.084	0.781	0.084	0.756	0.084	0.739	0.084	0.730	0.084	0.721
0.085	0.776	0.085	0.753	0.085	0.739	0.085	0.726	0.085	0.710
0.086	0.765	0.086	0.739	0.086	0.724	0.086	0.716	0.086	0.701
0.087	0.764	0.087	0.736	0.087	0.726	0.087	0.712	0.087	0.706
0.088	0.744	0.088	0.726	0.088	0.713	0.088	0.703	0.088	0.698
0.089	0.745	0.089	0.722	0.089	0.712	0.089	0.699	0.089	0.683
0.090	0.732	0.090	0.704	0.090	0.695	0.090	0.693	0.090	0.675
0.091	0.733	0.091	0.716	0.091	0.695	0.091	0.687	0.091	0.680
0.092	0.724	0.092	0.695	0.092	0.684	0.092	0.675	0.092	0.667
0.093	0.716	0.093	0.695	0.093	0.683	0.093	0.672	0.093	0.664
0.094	0.707	0.094	0.689	0.094	0.670	0.094	0.666	0.094	0.653
0.095	0.707	0.095	0.686	0.095	0.667	0.095	0.660	0.095	0.653
0.096	0.693	0.096	0.680	0.096	0.658	0.096	0.652	0.096	0.638
0.097	0.687	0.097	0.660	0.097	0.653	0.097	0.640	0.097	0.632
0.098	0.683	0.098	0.660	0.098	0.644	0.098	0.640	0.098	0.621
0.099	0.676	0.099	0.660	0.099	0.643	0.099	0.637	0.099	0.623
0.100	0.666	0.100	0.640	0.100	0.630	0.100	0.620	0.100	0.609
0.101	0.669	0.101	0.635	0.101	0.620	0.101	0.614	0.101	0.601
0.102	0.646	0.102	0.624	0.102	0.612	0.102	0.611	0.102	0.595
0.103	0.650	0.103	0.624	0.103	0.609	0.103	0.604	0.103	0.592
0.104	0.643	0.104	0.603	0.104	0.595	0.104	0.597	0.104	0.580
0.105	0.630	0.105	0.611	0.105	0.595	0.105	0.586	0.105	0.583
0.106	0.620	0.106	0.594	0.106	0.591	0.106	0.578	0.106	0.569
0.107	0.621	0.107	0.601	0.107	0.581	0.107	0.577	0.107	0.566
0.108	0.609	0.108	0.586	0.108	0.574	0.108	0.566	0.108	0.551
0.109	0.601	0.109	0.575	0.109	0.563	0.109	0.554	0.109	0.549
0.110	0.589	0.110	0.574	0.110	0.560	0.110	0.541	0.110	0.540
0.111	0.583	0.111	0.571	0.111	0.555	0.111	0.543	0.111	0.534
0.112	0.581	0.112	0.555	0.112	0.545	0.112	0.537	0.112	0.529
0.113	0.577	0.113	0.545	0.113	0.546	0.113	0.528	0.113	0.520
0.114	0.561	0.114	0.538	0.114	0.531	0.114	0.517	0.114	0.514
0.115	0.560	0.115	0.541	0.115	0.526	0.115	0.520	0.115	0.509
0.116	0.545	0.116	0.531	0.116	0.514	0.116	0.505	0.116	0.499
0.117	0.545	0.117	0.522	0.117	0.506	0.117	0.497	0.117	0.499
0.118	0.532	0.118	0.511	0.118	0.500	0.118	0.494	0.118	0.486
0.119	0.528	0.119	0.505	0.119	0.495	0.119	0.485	0.119	0.476
0.120	0.515	0.120	0.492	0.120	0.482	0.120	0.480	0.120	0.476
0.121	0.509	0.121	0.489	0.121	0.480	0.121	0.476	0.121	0.469
0.122	0.503	0.122	0.485	0.122	0.471	0.122	0.462	0.122	0.456
0.123	0.500	0.123	0.480	0.123	0.463	0.123	0.463	0.123	0.456
0.124	0.491	0.124	0.474	0.124	0.460	0.124	0.453	0.124	0.446
0.125	0.486	0.125	0.462	0.125	0.449	0.125	0.446	0.125	0.439
0.126	0.474	0.126	0.454	0.126	0.448	0.126	0.439	0.126	0.434
0.127	0.468	0.127	0.453	0.127	0.439	0.127	0.436	0.127	0.430
0.128	0.463	0.128	0.446	0.128	0.426	0.128	0.426	0.128	0.416
0.129	0.456	0.129	0.437	0.129	0.419	0.129	0.419	0.129	0.413
0.130	0.446	0.130	0.428	0.130	0.419	0.130	0.411	0.130	0.403
0.131	0.453	0.131	0.426	0.131	0.425	0.131	0.413	0.131	0.408
0.132	0.439	0.132	0.417	0.132	0.408	0.132	0.408	0.132	0.400
0.133	0.431	0.133	0.410	0.133	0.402	0.133	0.397	0.133	0.391
0.134	0.423	0.134	0.408	0.134	0.394	0.134	0.384	0.134	0.380
0.135	0.417	0.135	0.399	0.135	0.393	0.135	0.387	0.135	0.380
0.136	0.411	0.136	0.388	0.136	0.377	0.136	0.373	0.136	0.367
0.137	0.403	0.137	0.387	0.137	0.379	0.137	0.370	0.137	0.371
0.138	0.391	0.138	0.382	0.138	0.370	0.138	0.365	0.138	0.361
0.139	0.396	0.139	0.379	0.139	0.365	0.139	0.364	0.139	0.359
0.140	0.388	0.140	0.368	0.140	0.356	0.140	0.348	0.140	0.347
0.141	0.384	0.141	0.367	0.141	0.356	0.141	0.356	0.141	0.344
0.142	0.370	0.142	0.361	0.142	0.345	0.142	0.341	0.142	0.338
0.143	0.368	0.143	0.354	0.143	0.342	0.143	0.336	0.143	0.333
0.144	0.367	0.144	0.345	0.144	0.334	0.144	0.331	0.144	0.327
0.145	0.359	0.145	0.334	0.145	0.330	0.145	0.327	0.145	0.319
0.146	0.347	0.146	0.334	0.146	0.330	0.146	0.322	0.146	0.316
0.147	0.354	0.147	0.334	0.147	0.322	0.147	0.321	0.147	0.316
0.148	0.341	0.148	0.319	0.148	0.316	0.148	0.313	0.148	0.302
0.149	0.338	0.149	0.321	0.149	0.316	0.149	0.310	0.149	0.304
0.150	0.331	0.150	0.310	0.150	0.304	0.150	0.299	0.150	0.295
0.151	0.328	0.151	0.308	0.151	0.301	0.151	0.295	0.151	0.290
0.152	0.322	0.152	0.304	0.152	0.293	0.152	0.298	0.152	0.282
0.153	0.319	0.153	0.302	0.153	0.293	0.153	0.287	0.153	0.279
0.154	0.311	0.154	0.298	0.154	0.288	0.154	0.287	0.154	0.282
0.155	0.313	0.155	0.293	0.155	0.285	0.155	0.281	0.155	0.284
0.156	0.304	0.156	0.285	0.156	0.284	0.156	0.273	0.156	0.272
0.157	0.296	0.157	0.281	0.157	0.278	0.157	0.270	0.157	0.262
0.158	0.296	0.158	0.275	0.158	0.270	0.158	0.265	0.158	0.262
0.159	0.290	0.159	0.275	0.159	0.272	0.159	0.261	0.159	0.262
0.160	0.279	0.160	0.273	0.160	0.261	0.160	0.259	0.160	0.258
0.161	0.285	0.161	0.268	0.161	0.258	0.161	0.255	0.161	0.255
0.162	0.276	0.162	0.259	0.162	0.255	0.162	0.256	0.162	0.245
0.163	0.276	0.163	0.256	0.163	0.252	0.163	0.247	0.163	0.245
0.164	0.268	0.164	0.256	0.164	0.247	0.164	0.242	0.164	0.238
0.165	0.268	0.165	0.252	0.165	0.241	0.165	0.241	0.165	0.230
0.166	0.261	0.166	0.244	0.166	0.238	0.166	0.236	0.166	0.232
0.167	0.264	0.167	0.245	0.167	0.236	0.167	0.230	0.167	0.229
0.168	0.252	0.168	0.239	0.168	0.233	0.168	0.230	0.168	0.227
0.169	0.250	0.169	0.238	0.169	0.227	0.169	0.227	0.169	0.224
0.170	0.247	0.170	0.233	0.170	0.224	0.170	0.219	0.170	0.218
0.171	0.249	0.171	0.232	0.171	0.224	0.171	0.215	0.171	0.219
0.172	0.242	0.172	0.229	0.172	0.219	0.172	0.219	0.172	0.213
0.173	0.239	0.173	0.224	0.173	0.219	0.173	0.216	0.173	0.218
0.174	0.236	0.174	0.218	0.174	0.216	0.174	0.210	0.174	0.207
0.175	0.235	0.175	0.219	0.175	0.213	0.175	0.207	0.175	0.204
