E /V	I /uA	E /V	I /uA	E /V	I /uA
0.218	0.667	0.218	0.612	0.218	0.583
0.219	0.660	0.219	0.607	0.219	0.581
0.220	0.649	0.220	0.597	0.220	0.569
0.221	0.646	0.221	0.594	0.221	0.564
0.222	0.638	0.222	0.587	0.222	0.552
0.223	0.634	0.223	0.581	0.223	0.548
0.224	0.627	0.224	0.569	0.224	0.537
0.225	0.621	0.225	0.560	0.225	0.529
0.226	0.598	0.226	0.551	0.226	0.517
0.227	0.598	0.227	0.549	0.227	0.514
0.228	0.587	0.228	0.531	0.228	0.505
0.229	0.584	0.229	0.534	0.229	0.495
0.230	0.566	0.230	0.517	0.230	0.483
0.231	0.560	0.231	0.505	0.231	0.471
0.232	0.554	0.232	0.499	0.232	0.466
0.233	0.546	0.233	0.491	0.233	0.460
0.234	0.538	0.234	0.480	0.234	0.448
0.235	0.531	0.235	0.474	0.235	0.442
0.236	0.517	0.236	0.463	0.236	0.426
0.237	0.518	0.237	0.456	0.237	0.423
0.238	0.505	0.238	0.445	0.238	0.422
0.239	0.506	0.239	0.448	0.239	0.405
0.240	0.495	0.240	0.431	0.240	0.403
0.241	0.494	0.241	0.428	0.241	0.397
0.242	0.482	0.242	0.423	0.242	0.397
0.243	0.485	0.243	0.422	0.243	0.393
0.244	0.476	0.244	0.419	0.244	0.384
0.245	0.469	0.245	0.405	0.245	0.382
0.246	0.460	0.246	0.403	0.246	0.376
0.247	0.457	0.247	0.405	0.247	0.368
0.248	0.453	0.248	0.396	0.248	0.365
0.249	0.449	0.249	0.394	0.249	0.370
0.250	0.443	0.250	0.394	0.250	0.364
0.251	0.445	0.251	0.390	0.251	0.368
0.252	0.442	0.252	0.391	0.252	0.362
0.253	0.440	0.253	0.385	0.253	0.364
0.254	0.437	0.254	0.384	0.254	0.357
0.255	0.433	0.255	0.380	0.255	0.364
0.256	0.434	0.256	0.376	0.256	0.356
0.257	0.437	0.257	0.379	0.257	0.361
0.258	0.434	0.258	0.382	0.258	0.353
0.259	0.439	0.259	0.399	0.259	0.365
0.260	0.434	0.260	0.384	0.260	0.357
0.261	0.431	0.261	0.380	0.261	0.359
0.262	0.428	0.262	0.374	0.262	0.359
0.263	0.430	0.263	0.379	0.263	0.361
0.264	0.431	0.264	0.377	0.264	0.356
0.265	0.437	0.265	0.382	0.265	0.361
0.266	0.428	0.266	0.379	0.266	0.359
0.267	0.431	0.267	0.387	0.267	0.357
0.268	0.428	0.268	0.379	0.268	0.357
0.269	0.436	0.269	0.380	0.269	0.362
0.270	0.431	0.270	0.380	0.270	0.364
0.271	0.431	0.271	0.384	0.271	0.362
0.272	0.430	0.272	0.384	0.272	0.359
0.273	0.436	0.273	0.384	0.273	0.367
0.274	0.433	0.274	0.385	0.274	0.362
0.275	0.445	0.275	0.396	0.275	0.373
0.276	0.434	0.276	0.390	0.276	0.365
0.277	0.439	0.277	0.390	0.277	0.370
0.278	0.436	0.278	0.385	0.278	0.365
0.279	0.436	0.279	0.391	0.279	0.371
0.280	0.440	0.280	0.391	0.280	0.368
0.281	0.442	0.281	0.394	0.281	0.374
0.282	0.440	0.282	0.396	0.282	0.373
0.283	0.446	0.283	0.402	0.283	0.377
0.284	0.448	0.284	0.390	0.284	0.388
0.285	0.445	0.285	0.400	0.285	0.380
0.286	0.456	0.286	0.400	0.286	0.377
0.287	0.453	0.287	0.407	0.287	0.380
0.288	0.462	0.288	0.402	0.288	0.377
0.289	0.454	0.289	0.408	0.289	0.390
0.290	0.457	0.290	0.411	0.290	0.388
0.291	0.465	0.291	0.414	0.291	0.391
0.292	0.457	0.292	0.413	0.292	0.384
0.293	0.460	0.293	0.414	0.293	0.391
0.294	0.468	0.294	0.414	0.294	0.396
0.295	0.472	0.295	0.416	0.295	0.399
0.296	0.477	0.296	0.425	0.296	0.400
0.297	0.482	0.297	0.423	0.297	0.397
0.298	0.480	0.298	0.423	0.298	0.399
0.299	0.485	0.299	0.426	0.299	0.411
0.300	0.488	0.300	0.434	0.300	0.411
0.301	0.495	0.301	0.434	0.301	0.413
0.302	0.500	0.302	0.440	0.302	0.408
0.303	0.502	0.303	0.445	0.303	0.420
0.304	0.500	0.304	0.448	0.304	0.422
0.305	0.511	0.305	0.451	0.305	0.423
0.306	0.514	0.306	0.453	0.306	0.433
0.307	0.525	0.307	0.469	0.307	0.434
