E /V	I /uA	E /V	I /uA
0.588	0.722		
0.589	0.732		
0.590	0.741		
0.591	0.742		
0.592	0.753		
0.593	0.752		
0.594	0.758		
0.595	0.775		
0.596	0.776		
0.597	0.782		
0.598	0.788		
0.599	0.798		
0.600	0.801		
0.601	0.810		
0.602	0.831		
0.603	0.830		
0.604	0.839		
0.605	0.850		
0.606	0.857		
0.607	0.865		
0.608	0.880		
0.609	0.887		
0.610	0.900		
0.611	0.910		
0.612	0.928		
0.613	0.931		
0.614	0.937		
0.615	0.956		
0.616	0.962		
0.617	0.989		
0.618	0.995		
0.619	1.012		
0.620	1.018		
0.621	1.045		
0.622	1.060		
0.623	1.078		
0.624	1.083		
0.625	1.118		
0.626	1.130		
0.627	1.160		
0.628	1.167		
0.629	1.193		
0.630	1.221		
0.631	1.244		
0.632	1.258		
0.633	1.290		
0.634	1.311		
0.635	1.348		
0.636	1.356		
0.637	1.382		
0.638	1.400		
0.639	1.426		
0.640	1.437		
0.641	1.474		
0.642	1.486		
0.643	1.526		
0.644	1.529		
0.645	1.529		
0.646	1.534		
0.647	1.548		
0.648	1.548		
0.649	1.552		
0.650	1.548		
0.651	1.555		
0.652	1.546		
0.653	1.552		
0.654	1.554		
0.655	1.560		
0.656	1.554		
0.657	1.563		
0.658	1.558		
0.659	1.574		
0.660	1.566		
0.661	1.569		
0.662	1.569		
0.663	1.583		
0.664	1.583		
0.665	1.586		
0.666	1.589		
0.667	1.612		
0.668	1.614		
0.669	1.633		
0.670	1.635		
0.671	1.664		
0.672	1.672		
0.673	1.679		
0.674	1.690		
0.675	1.738		
0.676	1.729		
0.677	1.749		
0.678	1.759		
0.679	1.787		
0.680	1.807		
0.681	1.831		
0.682	1.837		
0.683	1.874		
0.684	1.893		
0.685	1.922		
0.686	1.943		
0.687	1.975		
0.688	2.000		
0.689	2.028		
0.690	2.057		
0.691	2.107		
0.692	2.124		
0.693	2.153		
0.694	2.176		
0.695	2.221		
0.696	2.253		
0.697	2.282		
0.698	2.314		
0.699	2.376		
0.700	1.985		
0.699	1.107		
0.698	0.356		
0.697	-0.216		
0.696	-0.636		
0.695	-0.942		
0.694	-1.136		
0.693	-1.279		
0.692	-1.374		
0.691	-1.448		
0.690	-1.468		
0.689	-1.501		
0.688	-1.500		
0.687	-1.506		
0.686	-1.504		
0.685	-1.500		
0.684	-1.488		
0.683	-1.491		
0.682	-1.469		
0.681	-1.458		
0.680	-1.443		
0.679	-1.435		
0.678	-1.414		
0.677	-1.397		
0.676	-1.389		
0.675	-1.376		
0.674	-1.366		
0.673	-1.345		
0.672	-1.337		
0.671	-1.330		
0.670	-1.314		
0.669	-1.305		
0.668	-1.284		
0.667	-1.290		
0.666	-1.274		
0.665	-1.267		
0.664	-1.264		
0.663	-1.261		
0.662	-1.258		
0.661	-1.245		
0.660	-1.236		
0.659	-1.241		
0.658	-1.230		
0.657	-1.236		
0.656	-1.233		
0.655	-1.225		
0.654	-1.225		
0.653	-1.222		
0.652	-1.228		
0.651	-1.238		
0.650	-1.222		
0.649	-1.231		
0.648	-1.238		
0.647	-1.238		
0.646	-1.231		
0.645	-1.244		
0.644	-1.248		
0.643	-1.276		
0.642	-1.256		
0.641	-1.267		
0.640	-1.261		
0.639	-1.265		
0.638	-1.261		
0.637	-1.262		
0.636	-1.250		
0.635	-1.245		
0.634	-1.241		
0.633	-1.219		
0.632	-1.222		
0.631	-1.207		
0.630	-1.192		
0.629	-1.176		
0.628	-1.162		
0.627	-1.152		
0.626	-1.138		
0.625	-1.104		
0.624	-1.101		
0.623	-1.077		
0.622	-1.057		
0.621	-1.037		
0.620	-1.023		
0.619	-1.012		
0.618	-0.992		
0.617	-0.971		
0.616	-0.955		
0.615	-0.948		
0.614	-0.929		
0.613	-0.912		
0.612	-0.897		
0.611	-0.886		
0.610	-0.870		
0.609	-0.853		
0.608	-0.842		
0.607	-0.839		
0.606	-0.820		
0.605	-0.807		
0.604	-0.796		
0.603	-0.788		
0.602	-0.779		
0.601	-0.761		
0.600	-0.753		
0.599	-0.748		
0.598	-0.735		
0.597	-0.718		
0.596	-0.713		
0.595	-0.710		
0.594	-0.702		
0.593	-0.676		
0.592	-0.676		
0.591	-0.666		
0.590	-0.661		
0.589	-0.652		
0.588	-0.644		
0.587	-0.638		
0.586	-0.630		
0.585	-0.615		
0.584	-0.613		
0.583	-0.609		
0.582	-0.609		
0.581	-0.593		
0.580	-0.590		
0.579	-0.587		
0.578	-0.566		
0.577	-0.572		
0.576	-0.566		
0.575	-0.555		
0.574	-0.552		
0.573	-0.541		
0.572	-0.543		
0.571	-0.537		
0.570	-0.534		
0.569	-0.526		
0.568	-0.527		
0.567	-0.520		
0.566	-0.517		
0.565	-0.508		
0.564	-0.509		
0.563	-0.497		
0.562	-0.501		
0.561	-0.488		
0.560	-0.488		
0.559	-0.481		
0.558	-0.485		
0.557	-0.475		
0.556	-0.474		
0.555	-0.471		
0.554	-0.471		
0.553	-0.462		
0.552	-0.462		
0.551	-0.462		
0.550	-0.458		
0.549	-0.452		
0.548	-0.449		
0.547	-0.442		
0.546	-0.445		
0.545	-0.442		
0.544	-0.437		
0.543	-0.434		
0.542	-0.434		
0.541	-0.435		
0.540	-0.428		
0.539	-0.420		
0.538	-0.422		
0.537	-0.419		
0.536	-0.412		
0.535	-0.412		
0.534	-0.417		
0.533	-0.411		
0.532	-0.417		
0.531	-0.414		
0.530	-0.411		
0.529	-0.408		
0.528	-0.406		
0.527	-0.403		
0.526	-0.399		
0.525	-0.402		
0.524	-0.397		
0.523	-0.391		
0.522	-0.405		
0.521	-0.396		
0.520	-0.399		
0.519	-0.400		
0.518	-0.396		
0.517	-0.391		
0.516	-0.399		
0.515	-0.402		
0.514	-0.396		
0.513	-0.400		
0.512	-0.400		
0.511	-0.396		
0.510	-0.399		
0.509	-0.399		
0.508	-0.397		
0.507	-0.403		
0.506	-0.406		
0.505	-0.399		
0.504	-0.399		
0.503	-0.402		
0.502	-0.406		
0.501	-0.408		
0.500	-0.406		
0.499	-0.411		
0.498	-0.417		
0.497	-0.416		
0.496	-0.419		
0.495	-0.420		
0.494	-0.422		
0.493	-0.425		
0.492	-0.422		
0.491	-0.431		
0.490	-0.426		
0.489	-0.431		
0.488	-0.428		
0.487	-0.435		
0.486	-0.437		
0.485	-0.443		
0.484	-0.437		
0.483	-0.443		
0.482	-0.446		
0.481	-0.443		
0.480	-0.442		
0.479	-0.443		
0.478	-0.442		
0.477	-0.445		
0.476	-0.435		
0.475	-0.443		
0.474	-0.435		
0.473	-0.435		
0.472	-0.431		
0.471	-0.426		
0.470	-0.423		
0.469	-0.417		
0.468	-0.408		
0.467	-0.408		
0.466	-0.402		
0.465	-0.393		
0.464	-0.393		
0.463	-0.382		
0.462	-0.374		
0.461	-0.371		
0.460	-0.357		
0.459	-0.353		
0.458	-0.348		
0.457	-0.339		
0.456	-0.328		
0.455	-0.320		
0.454	-0.319		
0.453	-0.310		
0.452	-0.305		
0.451	-0.299		
0.450	-0.294		
0.449	-0.290		
0.448	-0.281		
0.447	-0.273		
