E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.064	-0.768	0.064	-0.713	0.064	-0.722	0.064	-0.731	0.064	-0.747	0.064	-0.678	0.064	-0.636	0.064	-0.632	0.064	-0.550
0.063	-0.756	0.063	-0.738	0.063	-0.782	0.063	-0.678	0.063	-0.698	0.063	-0.695	0.063	-0.684	0.063	-0.535	0.063	-0.578
0.063	-0.839	0.063	-0.799	0.063	-0.767	0.063	-0.707	0.063	-0.675	0.063	-0.635	0.063	-0.604	0.063	-0.623	0.063	-0.650
0.062	-0.698	0.062	-0.687	0.062	-0.689	0.062	-0.649	0.062	-0.690	0.062	-0.673	0.062	-0.535	0.062	-0.592	0.062	-0.603
0.061	-0.779	0.061	-0.722	0.061	-0.785	0.061	-0.707	0.061	-0.702	0.061	-0.707	0.061	-0.633	0.061	-0.667	0.061	-0.604
0.061	-0.750	0.061	-0.682	0.061	-0.906	0.061	-0.710	0.061	-0.693	0.061	-0.725	0.061	-0.597	0.061	-0.557	0.061	-0.592
0.060	-0.712	0.060	-0.721	0.060	-0.837	0.060	-0.701	0.060	-0.710	0.060	-0.702	0.060	-0.655	0.060	-0.610	0.060	-0.552
0.060	-0.793	0.060	-0.747	0.060	-0.799	0.060	-0.695	0.060	-0.689	0.060	-0.681	0.060	-0.635	0.060	-0.613	0.060	-0.574
0.059	-0.843	0.059	-0.804	0.059	-0.728	0.059	-0.750	0.059	-0.707	0.059	-0.764	0.059	-0.647	0.059	-0.656	0.059	-0.647
0.059	-0.893	0.059	-0.828	0.059	-0.702	0.059	-0.705	0.059	-0.672	0.059	-0.658	0.059	-0.708	0.059	-0.641	0.059	-0.581
0.059	-0.785	0.059	-0.854	0.059	-0.768	0.059	-0.659	0.059	-0.632	0.059	-0.712	0.059	-0.616	0.059	-0.575	0.059	-0.649
0.058	-0.796	0.058	-0.810	0.058	-0.725	0.058	-0.644	0.058	-0.638	0.058	-0.655	0.058	-0.624	0.058	-0.627	0.058	-0.557
0.058	-0.785	0.058	-0.827	0.058	-0.836	0.058	-0.764	0.058	-0.652	0.058	-0.756	0.058	-0.698	0.058	-0.702	0.058	-0.598
0.057	-0.833	0.057	-0.790	0.057	-0.796	0.057	-0.784	0.057	-0.768	0.057	-0.739	0.057	-0.669	0.057	-0.667	0.057	-0.678
0.057	-0.816	0.057	-0.770	0.057	-0.748	0.057	-0.790	0.057	-0.753	0.057	-0.715	0.057	-0.635	0.057	-0.662	0.057	-0.586
0.056	-0.845	0.056	-0.764	0.056	-0.701	0.056	-0.781	0.056	-0.811	0.056	-0.669	0.056	-0.592	0.056	-0.532	0.056	-0.647
0.056	-0.889	0.056	-0.764	0.056	-0.776	0.056	-0.899	0.056	-0.762	0.056	-0.695	0.056	-0.620	0.056	-0.626	0.056	-0.610
0.055	-0.770	0.055	-0.785	0.055	-0.784	0.055	-0.744	0.055	-0.650	0.055	-0.653	0.055	-0.581	0.055	-0.682	0.055	-0.598
0.054	-0.670	0.054	-0.739	0.054	-0.788	0.054	-0.762	0.054	-0.616	0.054	-0.626	0.054	-0.554	0.054	-0.722	0.054	-0.564
0.054	-0.727	0.054	-0.807	0.054	-0.846	0.054	-0.601	0.054	-0.701	0.054	-0.744	0.054	-0.590	0.054	-0.643	0.054	-0.590
