E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.542	0.126	0.542	0.158	0.542	0.129	0.542	0.098	0.542	0.126	0.542	0.098	0.542	0.104	0.542	0.051		
0.543	0.120	0.543	0.094	0.543	0.130	0.543	0.118	0.543	0.077	0.543	0.121	0.543	0.063	0.543	0.118		
0.543	0.161	0.543	0.107	0.543	0.098	0.543	0.121	0.543	0.138	0.543	0.141	0.543	0.094	0.543	0.098		
0.544	0.075	0.544	0.083	0.544	0.077	0.544	0.089	0.544	0.097	0.544	0.137	0.544	0.135	0.544	0.117		
0.544	0.061	0.544	0.117	0.544	0.101	0.544	0.147	0.544	0.055	0.544	0.115	0.544	0.101	0.544	0.107		
0.545	0.074	0.545	0.083	0.545	0.153	0.545	0.106	0.545	0.143	0.545	0.118	0.545	0.055	0.545	0.068		
0.545	0.097	0.545	0.106	0.545	0.147	0.545	0.089	0.545	0.147	0.545	0.078	0.545	0.049	0.545	0.134		
0.546	0.078	0.546	0.130	0.546	0.081	0.546	0.080	0.546	0.126	0.546	0.092	0.546	0.112	0.546	0.132		
0.546	0.063	0.546	0.112	0.546	0.072	0.546	0.112	0.546	0.123	0.546	0.114	0.546	0.091	0.546	0.095		
0.547	0.121	0.547	0.077	0.547	0.117	0.547	0.091	0.547	0.109	0.547	0.114	0.547	0.088	0.547	0.106		
0.547	0.134	0.547	0.080	0.547	0.130	0.547	0.075	0.547	0.078	0.547	0.158	0.547	0.091	0.547	0.112		
0.548	0.083	0.548	0.124	0.548	0.115	0.548	0.072	0.548	0.092	0.548	0.101	0.548	0.088	0.548	0.077		
0.548	0.077	0.548	0.129	0.548	0.126	0.548	0.084	0.548	0.107	0.548	0.103	0.548	0.103	0.548	0.100		
0.549	0.111	0.549	0.137	0.549	0.118	0.549	0.120	0.549	0.071	0.549	0.095	0.549	0.075	0.549	0.149		
0.549	0.130	0.549	0.132	0.549	0.066	0.549	0.057	0.549	0.078	0.549	0.138	0.549	0.083	0.549	0.107		
0.550	0.141	0.550	0.103	0.550	0.065	0.550	0.091	0.550	0.095	0.550	0.123	0.550	0.114	0.550	0.138		
0.550	0.127	0.550	0.063	0.550	0.080	0.550	0.127	0.550	0.081	0.550	0.094	0.550	0.083	0.550	0.123		
0.551	0.052	0.551	0.066	0.551	0.084	0.551	0.124	0.551	0.088	0.551	0.092	0.551	0.051	0.551	0.052		
0.551	0.068	0.551	0.083	0.551	0.094	0.551	0.080	0.551	0.112	0.551	0.089	0.551	0.035	0.551	0.098		
0.552	0.083	0.552	0.109	0.552	0.150	0.552	0.069	0.552	0.106	0.552	0.141	0.552	0.094	0.552	0.092		
0.552	0.123	0.552	0.060	0.552	0.100	0.552	0.095	0.552	0.140	0.552	0.101	0.552	0.092	0.552	0.043		
0.553	0.112	0.553	0.088	0.553	0.081	0.553	0.078	0.553	0.095	0.553	0.089	0.553	0.095	0.553	0.094		
0.553	0.112	0.553	0.134	0.553	0.058	0.553	0.075	0.553	0.071	0.553	0.126	0.553	0.071	0.553	0.072		
0.554	0.071	0.554	0.086	0.554	0.088	0.554	0.115	0.554	0.074	0.554	0.146	0.554	0.068	0.554	0.061		
0.554	0.089	0.554	0.072	0.554	0.112	0.554	0.077	0.554	0.103	0.554	0.109	0.554	0.098	0.554	0.072		
0.555	0.118	0.555	0.072	0.555	0.123	0.555	0.107	0.555	0.104	0.555	0.094	0.555	0.091	0.555	0.106		
0.555	0.117	0.555	0.098	0.555	0.065	0.555	0.052	0.555	0.121	0.555	0.101	0.555	0.060	0.555	0.117		
0.556	0.114	0.556	0.117	0.556	0.068	0.556	0.071	0.556	0.100	0.556	0.094	0.556	0.042	0.556	0.084		
0.556	0.104	0.556	0.117	0.556	0.078	0.556	0.101	0.556	0.080	0.556	0.118	0.556	0.095	0.556	0.051		
0.557	0.092	0.557	0.058	0.557	0.106	0.557	0.091	0.557	0.040	0.557	0.055	0.557	0.095	0.557	0.060		
0.557	0.080	0.557	0.120	0.557	0.075	0.557	0.040	0.557	0.072	0.557	0.072	0.557	0.072	0.557	0.074		
0.558	0.088	0.558	0.101	0.558	0.106	0.558	0.046	0.558	0.138	0.558	0.118	0.558	0.066	0.558	0.114		
0.558	0.078	0.558	0.077	0.558	0.097	0.558	0.058	0.558	0.095	0.558	0.124	0.558	0.065	0.558	0.111		
0.559	0.100	0.559	0.103	0.559	0.083	0.559	0.112	0.559	0.103	0.559	0.084	0.559	0.074	0.559	0.109		
0.559	0.086	0.559	0.057	0.559	0.057	0.559	0.103	0.559	0.063	0.559	0.127	0.559	0.104	0.559	0.063		
0.560	0.144	0.560	0.080	0.560	0.098	0.560	0.111	0.560	0.077	0.560	0.114	0.560	0.098	0.560	0.074		
0.560	0.129	0.560	0.121	0.560	0.104	0.560	0.061	0.560	0.054	0.560	0.118	0.560	0.043	0.560	0.080		
0.561	0.109	0.561	0.135	0.561	0.146	0.561	0.089	0.561	0.097	0.561	0.088	0.561	0.089	0.561	0.068		
0.561	0.143	0.561	0.101	0.561	0.124	0.561	0.083	0.561	0.152	0.561	0.120	0.561	0.101	0.561	0.080		
0.562	0.091	0.562	0.057	0.562	0.060	0.562	0.097	0.562	0.135	0.562	0.123	0.562	0.104	0.562	0.063		
0.563	0.057	0.563	0.123	0.563	0.058	0.563	0.051	0.563	0.106	0.563	0.107	0.563	0.109	0.563	0.078		
0.563	0.072	0.563	0.094	0.563	0.086	0.563	0.118	0.563	0.048	0.563	0.077	0.563	0.118	0.563	0.095		
0.564	0.052	0.564	0.163	0.564	0.120	0.564	0.063	0.564	0.084	0.564	0.095	0.564	0.089	0.564	0.103		
0.564	0.054	0.564	0.127	0.564	0.106	0.564	0.015	0.564	0.109	0.564	0.120	0.564	0.058	0.564	0.089		
0.565	0.117	0.565	0.069	0.565	0.072	0.565	0.040	0.565	0.120	0.565	0.126	0.565	0.092	0.565	0.097		
0.565	0.107	0.565	0.084	0.565	0.066	0.565	0.103	0.565	0.112	0.565	0.107	0.565	0.115	0.565	0.103		
0.566	0.127	0.566	0.117	0.566	0.074	0.566	0.149	0.566	0.111	0.566	0.049	0.566	0.061	0.566	0.083		
0.566	0.078	0.566	0.135	0.566	0.130	0.566	0.074	0.566	0.060	0.566	0.089	0.566	0.043	0.566	0.074		
0.567	0.092	0.567	0.123	0.567	0.129	0.567	0.088	0.567	0.069	0.567	0.121	0.567	0.101	0.567	0.111		
0.567	0.127	0.567	0.117	0.567	0.106	0.567	0.143	0.567	0.098	0.567	0.115	0.567	0.061	0.567	0.117		
0.568	0.109	0.568	0.109	0.568	0.123	0.568	0.042	0.568	0.114	0.568	0.072	0.568	0.051	0.568	0.117		
0.568	0.112	0.568	0.114	0.568	0.094	0.568	0.037	0.568	0.072	0.568	0.111	0.568	0.109	0.568	0.103		
0.569	0.054	0.569	0.092	0.569	0.069	0.569	0.081	0.569	0.092	0.569	0.091	0.569	0.097	0.569	0.120		
0.569	0.123	0.569	0.118	0.569	0.068	0.569	0.107	0.569	0.117	0.569	0.074	0.569	0.054	0.569	0.081		
0.570	0.111	0.570	0.134	0.570	0.057	0.570	0.063	0.570	0.086	0.570	0.117	0.570	0.065	0.570	0.106		
0.570	0.075	0.570	0.101	0.570	0.046	0.570	0.068	0.570	0.045	0.570	0.089	0.570	0.066	0.570	0.123		
0.571	0.084	0.571	0.114	0.571	0.074	0.571	0.092	0.571	0.078	0.571	0.092	0.571	0.063	0.571	0.107		
0.571	0.081	0.571	0.106	0.571	0.109	0.571	0.107	0.571	0.111	0.571	0.074	0.571	0.080	0.571	0.078		
0.572	0.060	0.572	0.078	0.572	0.143	0.572	0.107	0.572	0.111	0.572	0.092	0.572	0.081	0.572	0.072		
0.572	0.120	0.572	0.104	0.572	0.048	0.572	0.077	0.572	0.114	0.572	0.107	0.572	0.075	0.572	0.072		
0.573	0.126	0.573	0.104	0.573	0.086	0.573	0.063	0.573	0.115	0.573	0.072	0.573	0.028	0.573	0.080		
0.573	0.120	0.573	0.112	0.573	0.091	0.573	0.074	0.573	0.104	0.573	0.091	0.573	0.032	0.573	0.098		
0.574	0.137	0.574	0.084	0.574	0.109	0.574	0.089	0.574	0.068	0.574	0.115	0.574	0.086	0.574	0.101		
0.574	0.074	0.574	0.049	0.574	0.092	0.574	0.040	0.574	0.072	0.574	0.069	0.574	0.101	0.574	0.083		
0.575	0.055	0.575	0.040	0.575	0.072	0.575	0.061	0.575	0.118	0.575	0.071	0.575	0.074	0.575	0.069		
0.575	0.068	0.575	0.088	0.575	0.095	0.575	0.057	0.575	0.089	0.575	0.066	0.575	0.035	0.575	0.060		
0.576	0.083	0.576	0.061	0.576	0.097	0.576	0.101	0.576	0.081	0.576	0.074	0.576	0.048	0.576	0.081		
0.576	0.114	0.576	0.123	0.576	0.071	0.576	0.046	0.576	0.109	0.576	0.111	0.576	0.066	0.576	0.086		
0.577	0.069	0.577	0.114	0.577	0.051	0.577	0.051	0.577	0.129	0.577	0.104	0.577	0.081	0.577	0.104		
0.577	0.054	0.577	0.080	0.577	0.089	0.577	0.083	0.577	0.063	0.577	0.060	0.577	0.058	0.577	0.098		
0.578	0.022	0.578	0.077	0.578	0.101	0.578	0.098	0.578	0.057	0.578	0.088	0.578	0.046	0.578	0.072		
0.578	0.065	0.578	0.103	0.578	0.084	0.578	0.060	0.578	0.089	0.578	0.118	0.578	0.106	0.578	0.065		
0.579	0.086	0.579	0.129	0.579	0.045	0.579	0.054	0.579	0.111	0.579	0.134	0.579	0.095	0.579	0.049		
0.579	0.094	0.579	0.092	0.579	0.101	0.579	0.072	0.579	0.117	0.579	0.117	0.579	0.045	0.579	0.086		
0.580	0.069	0.580	0.114	0.580	0.094	0.580	0.106	0.580	0.068	0.580	0.127	0.580	0.034	0.580	0.101		
0.580	0.043	0.580	0.088	0.580	0.038	0.580	0.094	0.580	0.078	0.580	0.106	0.580	0.069	0.580	0.114		
0.581	0.088	0.581	0.089	0.581	0.071	0.581	0.031	0.581	0.078	0.581	0.111	0.581	0.083	0.581	0.103		
0.581	0.114	0.581	0.086	0.581	0.051	0.581	0.043	0.581	0.095	0.581	0.111	0.581	0.048	0.581	0.109		
0.582	0.101	0.582	0.103	0.582	0.074	0.582	0.089	0.582	0.088	0.582	0.104	0.582	0.086	0.582	0.077		
0.582	0.061	0.582	0.092	0.582	0.071	0.582	0.092	0.582	0.121	0.582	0.081	0.582	0.088	0.582	0.080		
0.583	0.055	0.583	0.058	0.583	0.117	0.583	0.037	0.583	0.072	0.583	0.080	0.583	0.042	0.583	0.063		
0.583	0.098	0.583	0.084	0.583	0.095	0.583	0.066	0.583	0.092	0.583	0.088	0.583	0.023	0.583	0.083		
0.584	0.088	0.584	0.060	0.584	0.100	0.584	0.081	0.584	0.094	0.584	0.100	0.584	0.040	0.584	0.091		
0.584	0.106	0.584	0.058	0.584	0.107	0.584	0.104	0.584	0.104	0.584	0.112	0.584	0.048	0.584	0.083		
0.585	0.038	0.585	0.055	0.585	0.046	0.585	0.077	0.585	0.080	0.585	0.092	0.585	0.057	0.585	0.097		
0.585	0.054	0.585	0.054	0.585	0.040	0.585	0.092	0.585	0.054	0.585	0.075	0.585	0.029	0.585	0.077		
0.586	0.061	0.586	0.078	0.586	0.092	0.586	0.046	0.586	0.051	0.586	0.071	0.586	0.045	0.586	0.081		
0.586	0.098	0.586	0.115	0.586	0.060	0.586	0.075	0.586	0.081	0.586	0.092	0.586	0.065	0.586	0.103		
0.587	0.153	0.587	0.100	0.587	0.065	0.587	0.091	0.587	0.104	0.587	0.083	0.587	0.098	0.587	0.100		
0.587	0.109	0.587	0.106	0.587	0.089	0.587	0.086	0.587	0.120	0.587	0.095	0.587	0.065	0.587	0.095		
0.588	0.112	0.588	0.106	0.588	0.068	0.588	0.031	0.588	0.106	0.588	0.114	0.588	0.040	0.588	0.084		
0.588	0.092	0.588	0.078	0.588	0.074	0.588	0.049	0.588	0.065	0.588	0.106	0.588	0.071	0.588	0.097		
0.589	0.072	0.589	0.084	0.589	0.091	0.589	0.097	0.589	0.065	0.589	0.081	0.589	0.048	0.589	0.095		
0.589	0.088	0.589	0.061	0.589	0.080	0.589	0.097	0.589	0.083	0.589	0.081	0.589	0.091	0.589	0.069		
0.590	0.048	0.590	0.049	0.590	0.068	0.590	0.083	0.590	0.086	0.590	0.107	0.590	0.091	0.590	0.074		
0.590	0.055	0.590	0.075	0.590	0.091	0.590	0.083	0.590	0.104	0.590	0.104	0.590	0.069	0.590	0.080		
0.591	0.054	0.591	0.115	0.591	0.075	0.591	-0.014	0.591	0.088	0.591	0.054	0.591	0.040	0.591	0.109		
0.591	0.098	0.591	0.074	0.591	0.088	0.591	0.118	0.591	0.104	0.591	0.065	0.591	0.035	0.591	0.074		
0.592	0.091	0.592	0.048	0.592	0.081	0.592	-0.017	0.592	0.055	0.592	0.121	0.592	0.071	0.592	0.061		
0.592	0.074	0.592	0.052	0.592	0.063	0.592	0.000	0.592	0.091	0.592	0.115	0.592	0.084	0.592	0.049		
0.593	0.045	0.593	0.081	0.593	0.106	0.593	0.077	0.593	0.106	0.593	0.086	0.593	0.088	0.593	0.098		
0.593	0.095	0.593	0.078	0.593	0.078	0.593	0.015	0.593	0.069	0.593	0.078	0.593	0.086	0.593	0.097		
0.594	0.092	0.594	0.118	0.594	0.097	0.594	0.061	0.594	0.065	0.594	0.069	0.594	0.098	0.594	0.100		
0.594	0.081	0.594	0.103	0.594	0.094	0.594	0.048	0.594	0.078	0.594	0.072	0.594	0.068	0.594	0.075		
0.595	0.061	0.595	0.083	0.595	0.075	0.595	0.095	0.595	0.114	0.595	0.077	0.595	0.034	0.595	0.066		
0.595	0.045	0.595	0.095	0.595	0.097	0.595	0.135	0.595	0.075	0.595	0.077	0.595	0.074	0.595	0.095		
0.596	0.049	0.596	0.088	0.596	0.046	0.596	0.101	0.596	0.068	0.596	0.097	0.596	0.086	0.596	0.106		
0.596	0.063	0.596	0.089	0.596	0.058	0.596	0.158	0.596	0.065	0.596	0.075	0.596	0.068	0.596	0.089		
0.597	0.075	0.597	0.109	0.597	0.045	0.597	0.012	0.597	0.068	0.597	0.055	0.597	0.069	0.597	0.075		
0.597	0.068	0.597	0.077	0.597	0.043	0.597	0.034	0.597	0.086	0.597	0.072	0.597	0.046	0.597	0.069		
0.598	0.088	0.598	0.080	0.598	0.037	0.598	0.008	0.598	0.088	0.598	0.107	0.598	0.042	0.598	0.061		
0.598	0.086	0.598	0.089	0.598	0.072	0.598	0.086	0.598	0.089	0.598	0.075	0.598	0.071	0.598	0.104		
0.599	0.058	0.599	0.084	0.599	0.098	0.599	0.088	0.599	0.052	0.599	0.081	0.599	0.083	0.599	0.104		
0.599	0.055	0.599	0.063	0.599	0.094	0.599	0.069	0.599	0.066	0.599	0.115	0.599	0.072	0.599	0.095		
0.600	0.086	0.600	0.086	0.600	0.051	0.600	0.074	0.600	0.092	0.600	0.092	0.600	0.025	0.600	0.071		
0.600	0.078	0.600	0.066	0.600	0.066	0.600	0.052	0.600	0.061	0.600	0.065	0.600	0.078	0.600	0.068		
0.601	0.098	0.601	0.032	0.601	0.069	0.601	0.054	0.601	0.052	0.601	0.057	0.601	0.058	0.601	0.071		
0.601	0.078	0.601	0.072	0.601	0.075	0.601	0.080	0.601	0.071	0.601	0.058	0.601	0.058	0.601	0.075		
0.602	0.084	0.602	0.081	0.602	0.074	0.602	0.068	0.602	0.092	0.602	0.063	0.602	0.074	0.602	0.101		
0.602	0.032	0.602	0.098	0.602	0.097	0.602	0.075	0.602	0.080	0.602	0.098	0.602	0.072	0.602	0.104		
0.603	0.068	0.603	0.094	0.603	0.068	0.603	0.043	0.603	0.091	0.603	0.081	0.603	0.083	0.603	0.071		
0.603	0.092	0.603	0.086	0.603	0.077	0.603	0.051	0.603	0.094	0.603	0.101	0.603	0.063	0.603	0.051		
0.604	0.043	0.604	0.071	0.604	0.077	0.604	0.071	0.604	0.075	0.604	0.086	0.604	0.049	0.604	0.061		
0.604	0.035	0.604	0.068	0.604	0.068	0.604	0.078	0.604	0.066	0.604	0.075	0.604	0.066	0.604	0.080		
0.605	0.075	0.605	0.069	0.605	0.077	0.605	0.089	0.605	0.061	0.605	0.060	0.605	0.052	0.605	0.089		
0.605	0.074	0.605	0.057	0.605	0.045	0.605	0.046	0.605	0.075	0.605	0.083	0.605	0.072	0.605	0.095		
0.606	0.094	0.606	0.061	0.606	0.058	0.606	0.049	0.606	0.114	0.606	0.095	0.606	0.094	0.606	0.057		
0.606	0.089	0.606	0.068	0.606	0.077	0.606	0.046	0.606	0.112	0.606	0.106	0.606	0.074	0.606	0.063		
0.607	0.086	0.607	0.084	0.607	0.080	0.607	0.074	0.607	0.103	0.607	0.094	0.607	0.075	0.607	0.074		
0.607	0.057	0.607	0.091	0.607	0.074	0.607	0.104	0.607	0.109	0.607	0.068	0.607	0.046	0.607	0.078		
0.608	0.055	0.608	0.114	0.608	0.061	0.608	0.088	0.608	0.088	0.608	0.052	0.608	0.075	0.608	0.106		
0.608	0.078	0.608	0.084	0.608	0.080	0.608	0.057	0.608	0.092	0.608	0.071	0.608	0.091	0.608	0.084		
0.609	0.094	0.609	0.086	0.609	0.069	0.609	0.051	0.609	0.104	0.609	0.100	0.609	0.048	0.609	0.054		
0.609	0.055	0.609	0.049	0.609	0.054	0.609	0.049	0.609	0.080	0.609	0.091	0.609	0.057	0.609	0.094		
0.610	0.065	0.610	0.045	0.610	0.063	0.610	0.058	0.610	0.075	0.610	0.091	0.610	0.069	0.610	0.092		
0.610	0.107	0.610	0.052	0.610	0.077	0.610	0.068	0.610	0.063	0.610	0.083	0.610	0.066	0.610	0.065		
0.611	0.055	0.611	0.081	0.611	0.048	0.611	0.063	0.611	0.080	0.611	0.091	0.611	0.049	0.611	0.068		
0.611	0.065	0.611	0.091	0.611	0.084	0.611	0.029	0.611	0.088	0.611	0.051	0.611	0.065	0.611	0.091		
0.612	0.074	0.612	0.100	0.612	0.065	0.612	0.054	0.612	0.057	0.612	0.081	0.612	0.068	0.612	0.092		
0.612	0.066	0.612	0.095	0.612	0.048	0.612	0.035	0.612	0.055	0.612	0.091	0.612	0.034	0.612	0.075		
0.613	0.057	0.613	0.095	0.613	0.052	0.613	0.068	0.613	0.091	0.613	0.101	0.613	0.081	0.613	0.071		
0.613	0.063	0.613	0.083	0.613	0.038	0.613	0.058	0.613	0.065	0.613	0.134	0.613	0.074	0.613	0.057		
0.614	0.074	0.614	0.095	0.614	0.084	0.614	0.055	0.614	0.078	0.614	0.115	0.614	0.071	0.614	0.063		
0.614	0.045	0.614	0.091	0.614	0.094	0.614	0.081	0.614	0.071	0.614	0.071	0.614	0.063	0.614	0.084		
0.615	0.048	0.615	0.065	0.615	0.095	0.615	0.084	0.615	0.075	0.615	0.083	0.615	0.045	0.615	0.055		
0.615	0.068	0.615	0.063	0.615	0.100	0.615	0.071	0.615	0.080	0.615	0.058	0.615	0.060	0.615	0.065		
0.616	0.091	0.616	0.049	0.616	0.081	0.616	0.084	0.616	0.104	0.616	0.051	0.616	0.092	0.616	0.063		
0.616	0.072	0.616	0.078	0.616	0.104	0.616	0.063	0.616	0.078	0.616	0.048	0.616	0.046	0.616	0.061		
0.617	0.065	0.617	0.100	0.617	0.081	0.617	0.043	0.617	0.057	0.617	0.071	0.617	0.057	0.617	0.055		
0.617	0.069	0.617	0.088	0.617	0.057	0.617	0.034	0.617	0.081	0.617	0.083	0.617	0.048	0.617	0.063		
0.618	0.083	0.618	0.058	0.618	0.051	0.618	0.045	0.618	0.074	0.618	0.077	0.618	0.078	0.618	0.051		
0.618	0.091	0.618	0.074	0.618	0.071	0.618	0.065	0.618	0.091	0.618	0.103	0.618	0.072	0.618	0.061		
0.619	0.088	0.619	0.071	0.619	0.068	0.619	0.074	0.619	0.088	0.619	0.066	0.619	0.051	0.619	0.103		
0.619	0.071	0.619	0.091	0.619	0.060	0.619	0.046	0.619	0.075	0.619	0.083	0.619	0.088	0.619	0.081		
0.620	0.055	0.620	0.054	0.620	0.078	0.620	0.035	0.620	0.057	0.620	0.094	0.620	0.065	0.620	0.091		
0.620	0.023	0.620	0.063	0.620	0.083	0.620	0.045	0.620	0.061	0.620	0.071	0.620	0.066	0.620	0.092		
0.621	0.034	0.621	0.055	0.621	0.095	0.621	0.049	0.621	0.104	0.621	0.063	0.621	0.048	0.621	0.077		
0.621	0.051	0.621	0.077	0.621	0.058	0.621	0.074	0.621	0.060	0.621	0.068	0.621	0.068	0.621	0.100		
0.622	0.092	0.622	0.081	0.622	0.074	0.622	0.060	0.622	0.086	0.622	0.061	0.622	0.084	0.622	0.083		
0.622	0.057	0.622	0.088	0.622	0.072	0.622	0.063	0.622	0.111	0.622	0.080	0.622	0.068	0.622	0.078		
0.623	0.057	0.623	0.055	0.623	0.069	0.623	0.066	0.623	0.058	0.623	0.074	0.623	0.042	0.623	0.066		
0.623	0.058	0.623	0.048	0.623	0.091	0.623	0.092	0.623	0.077	0.623	0.061	0.623	0.043	0.623	0.069		
0.624	0.035	0.624	0.049	0.624	0.071	0.624	0.075	0.624	0.069	0.624	0.063	0.624	0.084	0.624	0.065		
0.624	0.077	0.624	0.042	0.624	0.061	0.624	0.069	0.624	0.072	0.624	0.060	0.624	0.080	0.624	0.086		
0.625	0.075	0.625	0.063	0.625	0.088	0.625	0.043	0.625	0.097	0.625	0.089	0.625	0.065	0.625	0.091		
0.625	0.061	0.625	0.089	0.625	0.088	0.625	0.037	0.625	0.095	0.625	0.094	0.625	0.068	0.625	0.086		
0.625	0.077	0.625	0.077	0.625	0.069	0.625	0.071	0.625	0.075	0.625	0.089	0.625	0.060	0.625	0.055		
0.626	0.058	0.626	0.057	0.626	0.048	0.626	0.069	0.626	0.058	0.626	0.077	0.626	0.069	0.626	0.065		
0.626	0.089	0.626	0.042	0.626	0.057	0.626	0.072	0.626	0.083	0.626	0.063	0.626	0.088	0.626	0.071		
0.627	0.068	0.627	0.072	0.627	0.055	0.627	0.055	0.627	0.092	0.627	0.088	0.627	0.094	0.627	0.092		
0.627	0.052	0.627	0.063	0.627	0.098	0.627	0.086	0.627	0.094	0.627	0.063	0.627	0.072	0.627	0.080		
0.628	0.023	0.628	0.071	0.628	0.086	0.628	0.089	0.628	0.071	0.628	0.052	0.628	0.061	0.628	0.060		
0.628	0.048	0.628	0.072	0.628	0.068	0.628	0.071	0.628	0.046	0.628	0.043	0.628	0.069	0.628	0.057		
0.629	0.060	0.629	0.074	0.629	0.060	0.629	0.061	0.629	0.068	0.629	0.080	0.629	0.066	0.629	0.080		
0.629	0.075	0.629	0.057	0.629	0.061	0.629	0.055	0.629	0.092	0.629	0.086	0.629	0.054	0.629	0.103		
0.630	0.071	0.630	0.088	0.630	0.075	0.630	0.063	0.630	0.091	0.630	0.098	0.630	0.080	0.630	0.091		
0.630	0.063	0.630	0.089	0.630	0.052	0.630	0.080	0.630	0.080	0.630	0.063	0.630	0.052	0.630	0.078		
0.631	0.042	0.631	0.052	0.631	0.058	0.631	0.063	0.631	0.084	0.631	0.052	0.631	0.048	0.631	0.074		
0.631	0.046	0.631	0.055	0.631	0.081	0.631	0.032	0.631	0.088	0.631	0.063	0.631	0.048	0.631	0.083		
0.632	0.038	0.632	0.046	0.632	0.071	0.632	0.034	0.632	0.077	0.632	0.066	0.632	0.051	0.632	0.091		
0.632	0.048	0.632	0.045	0.632	0.063	0.632	0.055	0.632	0.063	0.632	0.061	0.632	0.052	0.632	0.094		
0.633	0.055	0.633	0.043	0.633	0.066	0.633	0.058	0.633	0.078	0.633	0.083	0.633	0.055	0.633	0.098		
0.633	0.063	0.633	0.069	0.633	0.072	0.633	0.069	0.633	0.089	0.633	0.084	0.633	0.055	0.633	0.086		
0.634	0.078	0.634	0.084	0.634	0.058	0.634	0.049	0.634	0.098	0.634	0.068	0.634	0.057	0.634	0.095		
0.634	0.046	0.634	0.074	0.634	0.052	0.634	0.055	0.634	0.068	0.634	0.051	0.634	0.077	0.634	0.066		
0.635	0.048	0.635	0.046	0.635	0.057	0.635	0.046	0.635	0.083	0.635	0.066	0.635	0.054	0.635	0.071		
0.635	0.035	0.635	0.068	0.635	0.043	0.635	0.052	0.635	0.049	0.635	0.088	0.635	0.045	0.635	0.088		
0.636	0.066	0.636	0.068	0.636	0.058	0.636	0.078	0.636	0.058	0.636	0.083	0.636	0.071	0.636	0.065		
0.636	0.071	0.636	0.055	0.636	0.080	0.636	0.071	0.636	0.045	0.636	0.063	0.636	0.066	0.636	0.061		
0.637	0.068	0.637	0.049	0.637	0.072	0.637	0.054	0.637	0.066	0.637	0.045	0.637	0.061	0.637	0.057		
0.637	0.048	0.637	0.040	0.637	0.051	0.637	0.025	0.637	0.068	0.637	0.045	0.637	0.078	0.637	0.074		
0.638	0.052	0.638	0.065	0.638	0.045	0.638	0.052	0.638	0.063	0.638	0.069	0.638	0.069	0.638	0.086		
0.638	0.054	0.638	0.069	0.638	0.046	0.638	0.061	0.638	0.046	0.638	0.088	0.638	0.094	0.638	0.071		
0.639	0.066	0.639	0.042	0.639	0.046	0.639	0.072	0.639	0.086	0.639	0.083	0.639	0.072	0.639	0.074		
0.639	0.061	0.639	0.046	0.639	0.040	0.639	0.054	0.639	0.080	0.639	0.075	0.639	0.074	0.639	0.061		
0.640	0.035	0.640	0.055	0.640	0.061	0.640	0.072	0.640	0.080	0.640	0.089	0.640	0.051	0.640	0.081		
0.640	0.031	0.640	0.086	0.640	0.083	0.640	0.040	0.640	0.083	0.640	0.063	0.640	0.063	0.640	0.066		
0.641	0.042	0.641	0.083	0.641	0.055	0.641	0.049	0.641	0.071	0.641	0.068	0.641	0.068	0.641	0.077		
0.641	0.035	0.641	0.066	0.641	0.060	0.641	0.043	0.641	0.069	0.641	0.075	0.641	0.065	0.641	0.094		
0.642	0.040	0.642	0.068	0.642	0.052	0.642	0.074	0.642	0.066	0.642	0.071	0.642	0.078	0.642	0.095		
0.642	0.057	0.642	0.038	0.642	0.078	0.642	0.074	0.642	0.068	0.642	0.040	0.642	0.052	0.642	0.083		
0.643	0.065	0.643	0.068	0.643	0.074	0.643	0.072	0.643	0.092	0.643	0.072	0.643	0.065	0.643	0.058		
0.643	0.066	0.643	0.051	0.643	0.075	0.643	0.088	0.643	0.054	0.643	0.072	0.643	0.072	0.643	0.052		
0.644	0.058	0.644	0.045	0.644	0.074	0.644	0.042	0.644	0.058	0.644	0.072	0.644	0.078	0.644	0.081		
0.644	0.043	0.644	0.066	0.644	0.080	0.644	0.043	0.644	0.075	0.644	0.046	0.644	0.069	0.644	0.057		
0.645	0.029	0.645	0.066	0.645	0.077	0.645	0.060	0.645	0.081	0.645	0.045	0.645	0.052	0.645	0.084		
0.645	0.019	0.645	0.071	0.645	0.061	0.645	0.052	0.645	0.081	0.645	0.040	0.645	0.058	0.645	0.098		
0.646	0.029	0.646	0.072	0.646	0.040	0.646	0.071	0.646	0.075	0.646	0.068	0.646	0.074	0.646	0.086		
0.646	0.058	0.646	0.078	0.646	0.066	0.646	0.057	0.646	0.071	0.646	0.071	0.646	0.066	0.646	0.075		
0.647	0.040	0.647	0.045	0.647	0.069	0.647	0.037	0.647	0.086	0.647	0.058	0.647	0.077	0.647	0.066		
0.647	0.065	0.647	0.058	0.647	0.078	0.647	0.025	0.647	0.057	0.647	0.054	0.647	0.063	0.647	0.054		
0.648	0.060	0.648	0.066	0.648	0.061	0.648	0.063	0.648	0.084	0.648	0.051	0.648	0.068	0.648	0.080		
0.648	0.054	0.648	0.065	0.648	0.031	0.648	0.066	0.648	0.063	0.648	0.103	0.648	0.088	0.648	0.088		
0.649	0.065	0.649	0.086	0.649	0.071	0.649	0.026	0.649	0.078	0.649	0.066	0.649	0.072	0.649	0.084		
