E /V	I /uA	E /V	I /uA	E /V	I /uA
-0.004	0.426	-0.004	0.437	-0.004	0.416
-0.004	0.402	-0.004	0.370	-0.004	0.367
-0.004	0.403	-0.004	0.423	-0.004	0.485
-0.003	0.460	-0.003	0.446	-0.003	0.483
-0.003	0.439	-0.003	0.410	-0.003	0.414
-0.002	0.549	-0.002	0.586	-0.002	0.552
-0.002	0.476	-0.002	0.549	-0.002	0.552
-0.001	0.526	-0.001	0.520	-0.001	0.491
-0.001	0.518	-0.001	0.509	-0.001	0.465
0.000	0.577	0.000	0.517	0.000	0.506
0.001	0.545	0.001	0.568	0.001	0.529
0.001	0.534	0.001	0.595	0.001	0.492
0.002	0.535	0.002	0.575	0.002	0.589
0.002	0.554	0.002	0.511	0.002	0.580
0.003	0.600	0.003	0.522	0.003	0.589
0.003	0.555	0.003	0.546	0.003	0.526
0.004	0.563	0.004	0.548	0.004	0.568
0.004	0.574	0.004	0.589	0.004	0.551
0.004	0.592	0.004	0.635	0.004	0.555
0.005	0.669	0.005	0.629	0.005	0.566
0.005	0.554	0.005	0.624	0.005	0.600
0.006	0.574	0.006	0.634	0.006	0.644
0.006	0.627	0.006	0.595	0.006	0.606
0.007	0.661	0.007	0.638	0.007	0.653
0.007	0.646	0.007	0.575	0.007	0.638
0.008	0.637	0.008	0.577	0.008	0.594
0.009	0.612	0.009	0.620	0.009	0.601
0.009	0.623	0.009	0.578	0.009	0.675
0.009	0.626	0.009	0.620	0.009	0.630
0.010	0.623	0.010	0.607	0.010	0.641
0.011	0.583	0.011	0.601	0.011	0.635
0.011	0.652	0.011	0.621	0.011	0.652
0.011	0.664	0.011	0.643	0.011	0.618
0.012	0.715	0.012	0.623	0.012	0.712
0.013	0.595	0.013	0.583	0.013	0.657
0.013	0.707	0.013	0.626	0.013	0.653
0.013	0.641	0.013	0.701	0.013	0.643
0.014	0.692	0.014	0.675	0.014	0.660
0.015	0.712	0.015	0.703	0.015	0.618
0.015	0.683	0.015	0.686	0.015	0.617
0.015	0.687	0.015	0.716	0.015	0.710
0.016	0.724	0.016	0.653	0.016	0.666
0.017	0.710	0.017	0.638	0.017	0.687
0.017	0.709	0.017	0.637	0.017	0.689
0.018	0.675	0.018	0.658	0.018	0.603
0.018	0.762	0.018	0.673	0.018	0.744
0.018	0.663	0.018	0.657	0.018	0.686
0.019	0.664	0.019	0.698	0.019	0.709
0.020	0.750	0.020	0.729	0.020	0.695
0.020	0.698	0.020	0.738	0.020	0.687
0.021	0.666	0.021	0.703	0.021	0.652
0.021	0.669	0.021	0.689	0.021	0.710
0.021	0.758	0.021	0.713	0.021	0.676
0.022	0.699	0.022	0.701	0.022	0.678
0.022	0.690	0.022	0.655	0.022	0.695
0.023	0.695	0.023	0.735	0.023	0.684
0.024	0.729	0.024	0.650	0.024	0.683
0.024	0.640	0.024	0.680	0.024	0.745
0.025	0.703	0.025	0.701	0.025	0.710
