E /V	I /uA	E /V	I /uA	E /V	I /uA
0.023	1.520	0.023	1.301	0.023	1.129
0.024	1.514	0.024	1.287	0.024	1.097
0.025	1.491	0.025	1.270	0.025	1.092
0.026	1.489	0.026	1.256	0.026	1.077
0.027	1.454	0.027	1.265	0.027	1.051
0.028	1.462	0.028	1.210	0.028	1.046
0.029	1.429	0.029	1.215	0.029	1.020
0.030	1.440	0.030	1.204	0.030	0.988
0.031	1.453	0.031	1.244	0.031	1.009
0.032	1.426	0.032	1.204	0.032	0.992
0.033	1.436	0.033	1.172	0.033	0.991
0.034	1.428	0.034	1.180	0.034	0.986
0.035	1.413	0.035	1.173	0.035	0.974
0.036	1.416	0.036	1.153	0.036	0.949
0.037	1.408	0.037	1.133	0.037	0.908
0.038	1.396	0.038	1.138	0.038	0.917
0.039	1.339	0.039	1.107	0.039	0.902
0.040	1.362	0.040	1.100	0.040	0.887
0.041	1.365	0.041	1.103	0.041	0.860
0.042	1.333	0.042	1.084	0.042	0.848
0.043	1.362	0.043	1.087	0.043	0.879
0.044	1.325	0.044	1.074	0.044	0.860
0.045	1.336	0.045	1.089	0.045	0.859
0.046	1.325	0.046	1.040	0.046	0.822
0.047	1.318	0.047	1.023	0.047	0.808
0.048	1.296	0.048	1.023	0.048	0.801
0.049	1.318	0.049	1.023	0.049	0.799
0.050	1.278	0.050	1.026	0.050	0.791
0.051	1.264	0.051	1.020	0.051	0.818
0.052	1.287	0.052	0.989	0.052	0.795
0.053	1.267	0.053	1.000	0.053	0.791
0.054	1.219	0.054	0.988	0.054	0.779
0.055	1.226	0.055	0.982	0.055	0.767
0.056	1.244	0.056	0.992	0.056	0.775
0.057	1.241	0.057	0.959	0.057	0.749
0.058	1.241	0.058	0.949	0.058	0.765
0.059	1.210	0.059	0.939	0.059	0.762
0.060	1.183	0.060	0.943	0.060	0.768
0.061	1.218	0.061	0.916	0.061	0.739
0.062	1.224	0.062	0.926	0.062	0.716
0.063	1.229	0.063	0.913	0.063	0.736
0.064	1.164	0.064	0.891	0.064	0.727
0.065	1.184	0.065	0.907	0.065	0.726
0.066	1.184	0.066	0.893	0.066	0.692
0.067	1.193	0.067	0.871	0.067	0.698
0.068	1.199	0.068	0.841	0.068	0.675
0.069	1.147	0.069	0.857	0.069	0.689
0.070	1.192	0.070	0.836	0.070	0.667
0.071	1.153	0.071	0.844	0.071	0.693
0.072	1.152	0.072	0.816	0.072	0.647
0.073	1.161	0.073	0.825	0.073	0.655
0.074	1.114	0.074	0.819	0.074	0.653
0.075	1.153	0.075	0.836	0.075	0.646
0.076	1.117	0.076	0.799	0.076	0.623
0.077	1.109	0.077	0.804	0.077	0.653
0.078	1.109	0.078	0.802	0.078	0.615
0.079	1.077	0.079	0.808	0.079	0.637
0.080	1.106	0.080	0.768	0.080	0.612
0.081	1.058	0.081	0.779	0.081	0.630
0.082	1.074	0.082	0.753	0.082	0.611
0.083	1.064	0.083	0.753	0.083	0.603
0.084	1.055	0.084	0.764	0.084	0.606
0.085	1.052	0.085	0.768	0.085	0.600
0.086	1.015	0.086	0.718	0.086	0.578
0.087	1.011	0.087	0.741	0.087	0.568
0.088	1.014	0.088	0.745	0.088	0.572
0.089	1.020	0.089	0.730	0.089	0.548
0.090	1.041	0.090	0.722	0.090	0.574
0.091	1.003	0.091	0.706	0.091	0.563
0.092	0.988	0.092	0.687	0.092	0.563
0.093	0.994	0.093	0.676	0.093	0.535
0.094	0.971	0.094	0.706	0.094	0.538
0.095	0.957	0.095	0.684	0.095	0.552
0.096	0.972	0.096	0.652	0.096	0.538
0.097	0.963	0.097	0.704	0.097	0.543
0.098	0.953	0.098	0.657	0.098	0.508
0.099	0.934	0.099	0.655	0.099	0.531
0.100	0.931	0.100	0.644	0.100	0.506
0.101	0.911	0.101	0.634	0.101	0.503
0.102	0.897	0.102	0.632	0.102	0.505
0.103	0.897	0.103	0.614	0.103	0.502
0.104	0.908	0.104	0.634	0.104	0.495
0.105	0.873	0.105	0.629	0.105	0.460
0.106	0.873	0.106	0.618	0.106	0.476
0.107	0.850	0.107	0.595	0.107	0.482
0.108	0.900	0.108	0.597	0.108	0.472
0.109	0.860	0.109	0.591	0.109	0.482
0.110	0.833	0.110	0.589	0.110	0.468
0.111	0.828	0.111	0.606	0.111	0.460
0.112	0.810	0.112	0.600	0.112	0.423
0.113	0.836	0.113	0.594	0.113	0.442
0.114	0.831	0.114	0.574	0.114	0.442
0.115	0.781	0.115	0.571	0.115	0.433
0.116	0.793	0.116	0.577	0.116	0.416
0.117	0.765	0.117	0.581	0.117	0.443
0.118	0.798	0.118	0.555	0.118	0.431
0.119	0.787	0.119	0.549	0.119	0.419
0.120	0.761	0.120	0.540	0.120	0.434
0.121	0.787	0.121	0.551	0.121	0.419
0.122	0.749	0.122	0.529	0.122	0.420
0.123	0.747	0.123	0.525	0.123	0.408
0.124	0.726	0.124	0.512	0.124	0.402
0.125	0.732	0.125	0.514	0.125	0.407
0.126	0.687	0.126	0.529	0.126	0.377
0.127	0.696	0.127	0.520	0.127	0.393
0.128	0.710	0.128	0.525	0.128	0.384
0.129	0.670	0.129	0.499	0.129	0.382
0.130	0.680	0.130	0.494	0.130	0.376
0.131	0.676	0.131	0.497	0.131	0.359
0.132	0.658	0.132	0.491	0.132	0.367
0.133	0.658	0.133	0.483	0.133	0.342
0.134	0.649	0.134	0.463	0.134	0.341
0.135	0.624	0.135	0.477	0.135	0.364
0.136	0.589	0.136	0.466	0.136	0.356
0.137	0.600	0.137	0.454	0.137	0.344
0.138	0.621	0.138	0.456	0.138	0.357
0.139	0.594	0.139	0.466	0.139	0.357
0.140	0.603	0.140	0.459	0.140	0.342
0.141	0.575	0.141	0.476	0.141	0.319
0.142	0.577	0.142	0.460	0.142	0.341
0.143	0.577	0.143	0.430	0.143	0.342
0.144	0.581	0.144	0.451	0.144	0.301
0.145	0.563	0.145	0.430	0.145	0.342
0.146	0.545	0.146	0.436	0.146	0.315
0.147	0.546	0.147	0.423	0.147	0.307
0.148	0.535	0.148	0.434	0.148	0.319
0.149	0.509	0.149	0.428	0.149	0.305
0.150	0.506	0.150	0.425	0.150	0.324
0.151	0.540	0.151	0.430	0.151	0.305
0.152	0.492	0.152	0.434	0.152	0.285
0.153	0.505	0.153	0.454	0.153	0.311
0.154	0.471	0.154	0.425	0.154	0.290
0.155	0.489	0.155	0.400	0.155	0.293
0.156	0.480	0.156	0.408	0.156	0.291
0.157	0.486	0.157	0.380	0.157	0.298
0.158	0.460	0.158	0.408	0.158	0.302
0.159	0.453	0.159	0.408	0.159	0.275
0.160	0.446	0.160	0.402	0.160	0.284
0.161	0.417	0.161	0.400	0.161	0.285
0.162	0.457	0.162	0.396	0.162	0.276
0.163	0.440	0.163	0.388	0.163	0.272
0.164	0.431	0.164	0.382	0.164	0.282
0.165	0.416	0.165	0.382	0.165	0.279
0.166	0.417	0.166	0.374	0.166	0.264
0.167	0.431	0.167	0.387	0.167	0.252
0.168	0.419	0.168	0.388	0.168	0.247
0.169	0.411	0.169	0.387	0.169	0.245
0.170	0.420	0.170	0.377	0.170	0.275
0.171	0.408	0.171	0.374	0.171	0.252
0.172	0.394	0.172	0.388	0.172	0.264
0.173	0.408	0.173	0.387	0.173	0.245
0.174	0.390	0.174	0.364	0.174	0.247
0.175	0.400	0.175	0.384	0.175	0.255
0.176	0.387	0.176	0.365	0.176	0.252
0.177	0.387	0.177	0.368	0.177	0.249
0.178	0.388	0.178	0.377	0.178	0.253
0.179	0.393	0.179	0.373	0.179	0.235
0.180	0.374	0.180	0.336	0.180	0.242
0.181	0.368	0.181	0.341	0.181	0.255
0.182	0.379	0.182	0.350	0.182	0.232
0.183	0.380	0.183	0.353	0.183	0.235
0.184	0.357	0.184	0.361	0.184	0.241
0.185	0.364	0.185	0.353	0.185	0.236
0.186	0.377	0.186	0.351	0.186	0.245
0.187	0.361	0.187	0.357	0.187	0.224
0.188	0.370	0.188	0.333	0.188	0.230
0.189	0.370	0.189	0.353	0.189	0.229
0.190	0.396	0.190	0.370	0.190	0.242
0.191	0.376	0.191	0.373	0.191	0.218
0.192	0.367	0.192	0.339	0.192	0.232
0.193	0.357	0.193	0.328	0.193	0.230
0.194	0.356	0.194	0.321	0.194	0.215
0.195	0.345	0.195	0.334	0.195	0.212
0.196	0.347	0.196	0.338	0.196	0.219
0.197	0.370	0.197	0.315	0.197	0.209
0.198	0.359	0.198	0.342	0.198	0.216
0.199	0.345	0.199	0.347	0.199	0.213
0.200	0.361	0.200	0.338	0.200	0.201
0.201	0.359	0.201	0.342	0.201	0.207
0.202	0.377	0.202	0.344	0.202	0.196
0.203	0.380	0.203	0.351	0.203	0.221
0.204	0.391	0.204	0.322	0.204	0.226
0.205	0.377	0.205	0.341	0.205	0.221
0.206	0.365	0.206	0.325	0.206	0.216
0.207	0.373	0.207	0.334	0.207	0.209
0.208	0.391	0.208	0.331	0.208	0.215
0.209	0.377	0.209	0.327	0.209	0.198
0.210	0.405	0.210	0.322	0.210	0.215
0.211	0.407	0.211	0.327	0.211	0.213
0.212	0.417	0.212	0.347	0.212	0.181
0.213	0.419	0.213	0.319	0.213	0.218
0.214	0.402	0.214	0.333	0.214	0.209
0.215	0.410	0.215	0.342	0.215	0.207
0.216	0.422	0.216	0.324	0.216	0.218
0.217	0.388	0.217	0.334	0.217	0.209
0.218	0.440	0.218	0.336	0.218	0.216
0.219	0.419	0.219	0.348	0.219	0.224
0.220	0.439	0.220	0.331	0.220	0.212
0.221	0.460	0.221	0.344	0.221	0.212
0.222	0.422	0.222	0.347	0.222	0.209
0.223	0.460	0.223	0.324	0.223	0.209
0.224	0.465	0.224	0.324	0.224	0.221
0.225	0.462	0.225	0.342	0.225	0.216
0.226	0.491	0.226	0.341	0.226	0.207
0.227	0.509	0.227	0.322	0.227	0.198
0.228	0.488	0.228	0.344	0.228	0.218
0.229	0.511	0.229	0.328	0.229	0.212
0.230	0.508	0.230	0.321	0.230	0.204
0.231	0.500	0.231	0.334	0.231	0.212
0.232	0.537	0.232	0.331	0.232	0.219
0.233	0.540	0.233	0.316	0.233	0.207
0.234	0.552	0.234	0.316	0.234	0.198
0.235	0.520	0.235	0.328	0.235	0.216
0.236	0.571	0.236	0.334	0.236	0.229
0.237	0.586	0.237	0.308	0.237	0.226
0.238	0.595	0.238	0.341	0.238	0.221
0.239	0.600	0.239	0.338	0.239	0.198
0.240	0.623	0.240	0.364	0.240	0.215
0.241	0.643	0.241	0.370	0.241	0.215
0.242	0.680	0.242	0.330	0.242	0.213
0.243	0.655	0.243	0.374	0.243	0.224
0.244	0.663	0.244	0.370	0.244	0.213
0.245	0.686	0.245	0.351	0.245	0.226
0.246	0.710	0.246	0.370	0.246	0.219
0.247	0.710	0.247	0.357	0.247	0.209
0.248	0.732	0.248	0.380	0.248	0.203
0.249	0.721	0.249	0.354	0.249	0.235
0.250	0.772	0.250	0.370	0.250	0.226
0.251	0.749	0.251	0.371	0.251	0.247
0.252	0.772	0.252	0.377	0.252	0.224
0.253	0.790	0.253	0.384	0.253	0.241
0.254	0.828	0.254	0.394	0.254	0.236
0.255	0.830	0.255	0.384	0.255	0.236
0.256	0.850	0.256	0.407	0.256	0.242
0.257	0.877	0.257	0.400	0.257	0.245
0.258	0.885	0.258	0.403	0.258	0.255
0.259	0.908	0.259	0.417	0.259	0.259
0.260	0.885	0.260	0.403	0.260	0.267
0.261	0.902	0.261	0.422	0.261	0.255
0.262	0.948	0.262	0.405	0.262	0.216
0.263	0.923	0.263	0.428	0.263	0.256
0.264	0.953	0.264	0.437	0.264	0.252
0.265	0.957	0.265	0.408	0.265	0.256
0.266	0.948	0.266	0.426	0.266	0.249
0.267	0.971	0.267	0.416	0.267	0.241
0.268	0.976	0.268	0.414	0.268	0.250
0.269	0.976	0.269	0.422	0.269	0.253
0.270	0.977	0.270	0.410	0.270	0.256
0.271	0.960	0.271	0.442	0.271	0.264
0.272	0.979	0.272	0.440	0.272	0.253
0.273	1.012	0.273	0.426	0.273	0.236
0.274	0.948	0.274	0.448	0.274	0.242
0.275	0.913	0.275	0.437	0.275	0.256
0.276	0.936	0.276	0.420	0.276	0.241
0.277	0.920	0.277	0.405	0.277	0.250
0.278	0.873	0.278	0.413	0.278	0.259
0.279	0.876	0.279	0.414	0.279	0.267
