Date: 01-03-22
Time: 20:13:53

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .1000
First vertex potential (V) = .0000
Second vertex potential (V) = .6000
Step potential (V) = .00030
Scan rate (V/s) = .05000
Equilibration time (s) = 
Number of Data Points =  3932 

 Potential	  Scan 1   	  Scan 2   	  Scan 3   	
 0.007324	-2.732300E-06	-2.741089E-06	-2.733399E-06
 0.007019	-2.556519E-06	-2.572998E-06	-2.564209E-06
 0.006714	-2.647705E-06	-2.677368E-06	-2.667481E-06
 0.006409	-2.629028E-06	-2.635620E-06	-2.635620E-06
 0.006104	-2.743286E-06	-2.765259E-06	-2.755371E-06
 0.005798	-2.614746E-06	-2.661987E-06	-2.660889E-06
 0.005493	-2.749878E-06	-2.760864E-06	-2.756470E-06
 0.005188	-2.719116E-06	-2.726807E-06	-2.725708E-06
 0.004883	-2.831177E-06	-2.868530E-06	-2.863037E-06
 0.004578	-2.660889E-06	-2.694946E-06	-2.699341E-06
 0.004272	-2.739990E-06	-2.748779E-06	-2.768555E-06
 0.003967	-2.704834E-06	-2.741089E-06	-2.743286E-06
 0.003662	-2.833374E-06	-2.874024E-06	-2.878418E-06
 0.003357	-2.713623E-06	-2.737793E-06	-2.750977E-06
 0.003052	-2.821289E-06	-2.865234E-06	-2.839966E-06
 0.002747	-2.794922E-06	-2.853150E-06	-2.852051E-06
 0.002441	-2.952026E-06	-2.976196E-06	-2.982788E-06
 0.002136	-2.788330E-06	-2.808106E-06	-2.813599E-06
 0.001831	-2.858643E-06	-2.923462E-06	-2.903687E-06
 0.001526	-2.844360E-06	-2.889404E-06	-2.893799E-06
 0.001221	-2.973999E-06	-3.012451E-06	-3.017944E-06
 0.000916	-2.857544E-06	-2.912476E-06	-2.901489E-06
 0.000610	-2.970703E-06	-3.024536E-06	-3.036621E-06
 0.000305	-2.949829E-06	-3.003662E-06	-2.999268E-06
 0.000000	-3.081665E-06	-3.140991E-06	-3.153076E-06
 0.000305	3.746338E-07	3.515625E-07	3.515625E-07
 0.000610	1.248047E-06	1.283203E-06	1.273315E-06
 0.000916	1.582031E-06	1.628174E-06	1.624878E-06
 0.001221	1.567749E-06	1.605103E-06	1.614990E-06
 0.001526	1.741333E-06	1.802857E-06	1.778687E-06
 0.001831	1.676514E-06	1.749023E-06	1.744629E-06
 0.002136	1.772095E-06	1.787476E-06	1.820435E-06
 0.002441	1.646851E-06	1.683106E-06	1.677612E-06
 0.002747	1.838013E-06	1.894043E-06	1.912720E-06
 0.003052	1.772095E-06	1.820435E-06	1.836914E-06
 0.003357	1.840210E-06	1.873169E-06	1.875366E-06
 0.003662	1.728149E-06	1.774292E-06	1.768799E-06
 0.003967	1.881958E-06	1.920410E-06	1.928101E-06
 0.004272	1.783081E-06	1.830322E-06	1.821533E-06
 0.004578	1.823731E-06	1.867676E-06	1.879761E-06
 0.004883	1.731445E-06	1.792969E-06	1.786377E-06
 0.005188	1.953369E-06	1.966553E-06	1.975342E-06
 0.005493	1.872070E-06	1.897339E-06	1.897339E-06
 0.005798	1.898438E-06	1.947876E-06	1.943482E-06
 0.006104	1.798462E-06	1.822632E-06	1.836914E-06
 0.006409	1.937988E-06	1.954468E-06	1.969849E-06
 0.006714	1.841309E-06	1.880859E-06	1.886353E-06
 0.007019	1.894043E-06	1.912720E-06	1.924805E-06
 0.007324	1.757813E-06	1.775391E-06	1.787476E-06
 0.007629	1.940186E-06	1.974243E-06	1.966553E-06
 0.007935	1.878662E-06	1.896240E-06	1.911621E-06
 0.008240	1.939087E-06	1.923706E-06	1.942383E-06
 0.008545	1.807251E-06	1.812744E-06	1.829224E-06
 0.008850	1.937988E-06	1.962158E-06	1.976440E-06
 0.009155	1.846802E-06	1.864380E-06	1.873169E-06
 0.009460	1.901733E-06	1.895142E-06	1.900635E-06
 0.009766	1.846802E-06	1.855591E-06	1.850098E-06
 0.010071	2.026978E-06	2.009399E-06	2.020386E-06
 0.010376	1.929199E-06	1.930298E-06	1.929199E-06
 0.010681	1.968750E-06	1.981934E-06	1.974243E-06
 0.010986	1.856690E-06	1.852295E-06	1.873169E-06
 0.011292	2.000610E-06	1.978638E-06	1.978638E-06
 0.011597	1.890747E-06	1.887451E-06	1.886353E-06
 0.011902	1.931397E-06	1.946777E-06	1.936890E-06
 0.012207	1.810547E-06	1.789673E-06	1.810547E-06
 0.012512	1.992920E-06	1.984131E-06	1.985230E-06
 0.012817	1.927002E-06	1.909424E-06	1.929199E-06
 0.013123	1.988525E-06	1.947876E-06	1.964356E-06
 0.013428	1.838013E-06	1.827026E-06	1.838013E-06
 0.013733	1.968750E-06	1.977539E-06	1.967651E-06
