E /V	I /uA	E /V	I /uA	E /V	I /uA
0.101	6.900	0.101	7.170	0.101	7.228
0.102	6.724	0.102	7.000	0.102	7.026
0.103	6.587	0.103	6.817	0.103	6.885
0.104	6.431	0.104	6.636	0.104	6.689
0.105	6.279	0.105	6.517	0.105	6.555
0.106	6.136	0.106	6.350	0.106	6.394
0.107	6.077	0.107	6.259	0.107	6.300
0.108	5.873	0.108	6.092	0.108	6.169
0.109	5.794	0.109	6.003	0.109	6.037
0.110	5.658	0.110	5.860	0.110	5.891
0.111	5.589	0.111	5.756	0.111	5.824
0.112	5.455	0.112	5.653	0.112	5.699
0.113	5.376	0.113	5.581	0.113	5.632
0.114	5.290	0.114	5.481	0.114	5.505
0.115	5.271	0.115	5.458	0.115	5.480
0.116	5.146	0.116	5.325	0.116	5.350
0.117	5.055	0.117	5.250	0.117	5.267
0.118	4.989	0.118	5.164	0.118	5.187
0.119	4.945	0.119	5.129	0.119	5.135
0.120	4.876	0.120	5.044	0.120	5.034
0.121	4.817	0.121	4.963	0.121	5.003
0.122	4.758	0.122	4.888	0.122	4.929
0.123	4.724	0.123	4.893	0.123	4.917
0.124	4.640	0.124	4.781	0.124	4.819
0.125	4.597	0.125	4.761	0.125	4.771
0.126	4.544	0.126	4.725	0.126	4.738
0.127	4.547	0.127	4.659	0.127	4.696
0.128	4.474	0.128	4.623	0.128	4.646
0.129	4.432	0.129	4.564	0.129	4.604
0.130	4.403	0.130	4.538	0.130	4.534
0.131	4.422	0.131	4.566	0.131	4.561
0.132	4.308	0.132	4.471	0.132	4.480
0.133	4.297	0.133	4.448	0.133	4.454
0.134	4.235	0.134	4.393	0.134	4.399
0.135	4.228	0.135	4.363	0.135	4.399
0.136	4.181	0.136	4.333	0.136	4.351
0.137	4.140	0.137	4.278	0.137	4.319
0.138	4.106	0.138	4.262	0.138	4.274
0.139	4.117	0.139	4.261	0.139	4.274
0.140	4.063	0.140	4.219	0.140	4.218
0.141	4.052	0.141	4.199	0.141	4.221
0.142	4.020	0.142	4.169	0.142	4.207
0.143	4.038	0.143	4.158	0.143	4.175
0.144	3.994	0.144	4.101	0.144	4.140
0.145	4.011	0.145	4.146	0.145	4.176
0.146	3.929	0.146	4.078	0.146	4.083
0.147	3.940	0.147	4.095	0.147	4.129
0.148	3.929	0.148	4.043	0.148	4.049
0.149	3.893	0.149	4.032	0.149	4.044
0.150	3.863	0.150	3.992	0.150	4.035
0.151	3.867	0.151	4.023	0.151	4.011
0.152	3.828	0.152	3.952	0.152	4.008
0.153	3.831	0.153	4.001	0.153	3.978
0.154	3.817	0.154	3.940	0.154	3.977
0.155	3.801	0.155	3.945	0.155	3.995
0.156	3.765	0.156	3.911	0.156	3.951
0.157	3.805	0.157	3.913	0.157	3.946
